NombreEquipes = 2
JoueursParEquipe = 1
ProfondeurIA = 10
NombreParties = 100

Equipe,Joueur,Strategie,Heuristique,VictoiresTotal,TauxDeVictoire
Equipe_1,Equipe_1_1,MinMaxStrategie,AdvancedHeuristic,47,47.00%
Equipe_2,Equipe_2_1,MinMaxStrategie,AdvancedHeuristic,37,37.00%

TailleGrille,EquipeGagnante,Point,Note,TempsMoyen,NbMoyenTours
100,Equipe_2,1,1.0,841.88,4.10
100,Equipe_2,1,1.0,841.88,4.10
100,Match Nul,1,1.0,841.88,4.10
100,Equipe_2,1,1.0,841.88,4.10
100,Match Nul,1,1.0,841.88,4.10
100,Match Nul,1,1.0,841.88,4.10
100,Equipe_1,1,1.0,841.88,4.10
100,Equipe_1,1,1.0,841.88,4.10
100,Match Nul,1,1.0,841.88,4.10
100,Equipe_2,1,1.0,841.88,4.10
100,Equipe_2,1,1.0,841.88,4.10
100,Equipe_2,1,1.0,841.88,4.10
100,Equipe_1,1,1.0,841.88,4.10
100,Equipe_2,1,1.0,841.88,4.10
100,Match Nul,1,1.0,841.88,4.10
100,Equipe_2,1,1.0,841.88,4.10
100,Equipe_2,1,1.0,841.88,4.10
100,Equipe_1,1,1.0,841.88,4.10
100,Match Nul,1,1.0,841.88,4.10
100,Equipe_1,1,1.0,841.88,4.10
100,Equipe_1,1,1.0,841.88,4.10
100,Match Nul,1,1.0,841.88,4.10
100,Equipe_2,1,1.0,841.88,4.10
100,Equipe_2,1,1.0,841.88,4.10
100,Match Nul,1,1.0,841.88,4.10
100,Equipe_2,1,1.0,841.88,4.10
100,Equipe_2,1,1.0,841.88,4.10
100,Equipe_1,1,1.0,841.88,4.10
100,Equipe_1,1,1.0,841.88,4.10
100,Equipe_1,1,1.0,841.88,4.10
100,Equipe_1,1,1.0,841.88,4.10
100,Equipe_2,1,1.0,841.88,4.10
100,Equipe_2,1,1.0,841.88,4.10
100,Equipe_1,1,1.0,841.88,4.10
100,Equipe_1,1,1.0,841.88,4.10
100,Equipe_1,1,1.0,841.88,4.10
100,Equipe_2,1,1.0,841.88,4.10
100,Equipe_2,1,1.0,841.88,4.10
100,Match Nul,1,1.0,841.88,4.10
100,Equipe_2,1,1.0,841.88,4.10
100,Equipe_2,1,1.0,841.88,4.10
100,Equipe_1,1,1.0,841.88,4.10
100,Equipe_1,1,1.0,841.88,4.10
100,Equipe_1,1,1.0,841.88,4.10
100,Equipe_1,1,1.0,841.88,4.10
100,Equipe_1,1,1.0,841.88,4.10
100,Equipe_2,1,1.0,841.88,4.10
100,Equipe_1,1,1.0,841.88,4.10
100,Equipe_2,1,1.0,841.88,4.10
100,Equipe_1,1,1.0,841.88,4.10
100,Equipe_1,1,1.0,841.88,4.10
100,Equipe_2,1,1.0,841.88,4.10
100,Equipe_1,1,1.0,841.88,4.10
100,Equipe_1,1,1.0,841.88,4.10
100,Equipe_1,1,1.0,841.88,4.10
100,Equipe_2,1,1.0,841.88,4.10
100,Equipe_1,1,1.0,841.88,4.10
100,Equipe_1,1,1.0,841.88,4.10
100,Equipe_1,1,1.0,841.88,4.10
100,Equipe_1,1,1.0,841.88,4.10
100,Equipe_2,1,1.0,841.88,4.10
100,Match Nul,1,1.0,841.88,4.10
100,Equipe_2,1,1.0,841.88,4.10
100,Equipe_1,1,1.0,841.88,4.10
100,Equipe_2,1,1.0,841.88,4.10
100,Equipe_1,1,1.0,841.88,4.10
100,Equipe_1,1,1.0,841.88,4.10
100,Equipe_1,1,1.0,841.88,4.10
100,Equipe_1,1,1.0,841.88,4.10
100,Equipe_1,1,1.0,841.88,4.10
100,Equipe_2,1,1.0,841.88,4.10
100,Equipe_1,1,1.0,841.88,4.10
100,Match Nul,1,1.0,841.88,4.10
100,Match Nul,1,1.0,841.88,4.10
100,Match Nul,1,1.0,841.88,4.10
100,Equipe_2,1,1.0,841.88,4.10
100,Equipe_1,1,1.0,841.88,4.10
100,Equipe_2,1,1.0,841.88,4.10
100,Equipe_1,1,1.0,841.88,4.10
100,Equipe_1,1,1.0,841.88,4.10
100,Equipe_2,1,1.0,841.88,4.10
100,Equipe_1,1,1.0,841.88,4.10
100,Equipe_1,1,1.0,841.88,4.10
100,Equipe_2,1,1.0,841.88,4.10
100,Match Nul,1,1.0,841.88,4.10
100,Match Nul,1,1.0,841.88,4.10
100,Equipe_1,1,1.0,841.88,4.10
100,Equipe_1,1,1.0,841.88,4.10
100,Match Nul,1,1.0,841.88,4.10
100,Equipe_2,1,1.0,841.88,4.10
100,Equipe_2,1,1.0,841.88,4.10
100,Equipe_1,1,1.0,841.88,4.10
100,Equipe_1,1,1.0,841.88,4.10
100,Equipe_2,1,1.0,841.88,4.10
100,Equipe_1,1,1.0,841.88,4.10
100,Equipe_2,1,1.0,841.88,4.10
100,Equipe_2,1,1.0,841.88,4.10
100,Equipe_2,1,1.0,841.88,4.10
100,Equipe_1,1,1.0,841.88,4.10
100,Equipe_1,1,1.0,841.88,4.10
======================================================================
