Nombre d'Equipes = 2
Joueurs Par Equipe = 1
Profondeur IA = 3
Nombre Parties = 50

Parties,T1,T2,Conf %
NbParties,MnS|FSH,ABS|FSH,
50,0.0%,4.0%,±5.43%
10,0.0%,0.0%,±0.00%
10,0.0%,0.0%,±0.00%
30,0.0%,6.7%,±8.93%
Total,0.0%,4.0%,±3.84%

TailleGrille,EquipeGagnante,TempsMoyen,NbMoyenTours
144,Match Nul,104,2
144,Match Nul,75,2
144,Match Nul,80,2
144,Match Nul,95,2
144,Match Nul,72,2
144,Match Nul,68,2
144,Equipe_2,94,2
144,Match Nul,94,2
144,Match Nul,15,2
144,Match Nul,18,2
144,Match Nul,48,2
144,Match Nul,32,2
144,Match Nul,32,2
144,Match Nul,29,2
144,Match Nul,29,2
144,Match Nul,24,2
144,Match Nul,27,2
144,Match Nul,20,2
144,Match Nul,12,2
144,Match Nul,6,2
144,Match Nul,4,2
144,Match Nul,5,2
144,Match Nul,9,2
144,Match Nul,3,2
144,Match Nul,8,2
144,Match Nul,6,2
144,Match Nul,6,2
144,Equipe_2,7,2
144,Match Nul,6,2
144,Match Nul,5,2
144,Match Nul,5,2
144,Match Nul,4,2
144,Match Nul,4,2
144,Match Nul,4,2
144,Match Nul,7,2
144,Match Nul,12,2
144,Match Nul,5,2
144,Match Nul,5,2
144,Match Nul,2,2
144,Match Nul,4,2
144,Match Nul,4,2
144,Match Nul,3,2
144,Match Nul,3,2
144,Match Nul,5,2
144,Match Nul,3,2
144,Match Nul,5,2
144,Match Nul,5,2
144,Match Nul,6,2
144,Match Nul,5,2
144,Match Nul,3,2
144,Match Nul,6,2
144,Match Nul,6,2
144,Match Nul,6,2
144,Match Nul,6,2
144,Match Nul,4,2
144,Match Nul,5,2
144,Match Nul,5,2
144,Match Nul,4,2
144,Match Nul,2,2
144,Match Nul,2,2
144,Match Nul,5,2
144,Match Nul,6,2
144,Match Nul,6,2
144,Match Nul,5,2
144,Match Nul,5,2
144,Match Nul,5,2
144,Match Nul,5,2
144,Match Nul,4,2
144,Match Nul,4,2
144,Match Nul,2,2
144,Match Nul,9,2
144,Match Nul,8,2
144,Match Nul,7,2
144,Match Nul,11,2
144,Match Nul,6,2
144,Match Nul,3,2
144,Match Nul,4,2
144,Match Nul,2,2
144,Match Nul,4,2
144,Match Nul,5,2
144,Match Nul,3,2
144,Match Nul,2,2
144,Match Nul,13,2
144,Match Nul,3,2
144,Match Nul,3,2
144,Match Nul,3,2
144,Equipe_2,3,2
144,Match Nul,3,2
144,Match Nul,5,2
144,Match Nul,4,2
144,Match Nul,5,2
144,Match Nul,2,2
144,Match Nul,8,2
144,Equipe_2,5,2
144,Match Nul,6,2
144,Match Nul,5,2
144,Match Nul,4,2
144,Match Nul,6,2
144,Match Nul,2,2
144,Match Nul,2,2
