Nombre d'Equipes = 2
Joueurs Par Equipe = 2
Profondeur IA = 10
Nombre Parties = 2

Parties,T1,T2,Conf %
NbParties,ABS|FSH,ABS|TOC,
2,0.0%,50.0%,±69.30%
20,10.0%,25.0%,±18.98%
200,36.0%,27.0%,±6.65%
100,27.0%,44.0%,±9.73%
50,30.0%,38.0%,±13.45%
Total,31.2%,33.1%,±4.76%

TailleGrille,EquipeGagnante,TempsMoyen,NbMoyenTours
100,Match Nul,522,2
100,Equipe_2,509,2
100,Match Nul,527,2
100,Equipe_2,571,2
100,Equipe_2,499,2
100,Equipe_2,574,2
100,Match Nul,602,3
100,Match Nul,615,2
100,Match Nul,493,2
100,Match Nul,624,2
100,Match Nul,585,4
100,Equipe_2,417,2
100,Match Nul,324,2
100,Match Nul,426,2
100,Match Nul,269,2
100,Match Nul,262,2
100,Equipe_1,517,2
100,Equipe_2,177,2
100,Match Nul,281,2
100,Equipe_1,259,2
100,Match Nul,270,2
100,Match Nul,292,3
100,Match Nul,430,2
100,Equipe_2,364,2
100,Equipe_1,285,2
100,Equipe_1,961,4
100,Match Nul,374,2
100,Match Nul,299,2
100,Equipe_1,443,2
100,Equipe_2,638,2
100,Equipe_2,298,2
100,Match Nul,730,4
100,Match Nul,246,2
100,Match Nul,298,2
100,Equipe_2,133,2
100,Equipe_1,356,2
100,Match Nul,207,2
100,Equipe_1,419,2
100,Equipe_1,214,2
100,Equipe_2,239,2
100,Equipe_2,592,5
100,Equipe_1,247,2
100,Equipe_1,366,2
100,Equipe_2,378,2
100,Match Nul,238,2
100,Match Nul,313,3
100,Equipe_2,280,2
100,Equipe_2,280,2
100,Equipe_2,235,2
100,Match Nul,254,2
100,Match Nul,260,2
100,Match Nul,318,3
100,Match Nul,172,2
100,Equipe_2,354,2
100,Match Nul,250,2
100,Equipe_1,347,2
100,Equipe_2,364,3
100,Equipe_2,271,2
100,Match Nul,281,2
100,Equipe_2,137,2
100,Equipe_1,635,2
100,Match Nul,286,2
100,Match Nul,191,2
100,Match Nul,318,2
100,Equipe_1,524,2
100,Match Nul,256,2
100,Match Nul,233,3
100,Match Nul,519,3
100,Equipe_1,220,2
100,Equipe_2,143,2
100,Match Nul,387,3
100,Equipe_2,348,2
100,Match Nul,253,2
100,Equipe_1,217,2
100,Match Nul,292,3
100,Equipe_1,186,2
100,Equipe_1,660,4
100,Match Nul,104,2
100,Equipe_1,229,2
100,Equipe_1,360,2
100,Equipe_2,297,2
100,Equipe_1,316,2
100,Match Nul,289,2
100,Equipe_1,390,2
100,Equipe_1,841,2
100,Equipe_2,402,2
100,Equipe_2,399,2
100,Equipe_2,289,2
100,Match Nul,612,4
100,Equipe_2,683,2
100,Match Nul,296,2
100,Equipe_2,375,2
100,Match Nul,134,3
100,Equipe_1,126,2
100,Equipe_1,340,2
100,Equipe_1,113,2
100,Equipe_1,139,2
100,Equipe_1,192,2
100,Match Nul,253,2
100,Match Nul,213,2
100,Equipe_1,296,2
100,Equipe_2,489,2
100,Equipe_2,108,2
100,Match Nul,255,2
100,Equipe_2,310,2
100,Match Nul,235,2
100,Equipe_1,498,2
100,Match Nul,253,2
100,Match Nul,207,2
100,Equipe_1,250,2
100,Match Nul,250,2
100,Match Nul,252,2
100,Match Nul,232,2
100,Equipe_1,317,2
100,Match Nul,284,3
100,Equipe_1,416,2
100,Equipe_1,435,2
100,Equipe_2,381,2
100,Match Nul,342,2
100,Equipe_2,398,2
100,Equipe_2,304,2
100,Match Nul,324,2
100,Match Nul,263,2
100,Equipe_1,510,2
100,Equipe_1,264,2
100,Match Nul,226,2
100,Equipe_2,300,2
100,Equipe_1,366,2
100,Match Nul,137,2
100,Equipe_2,307,2
100,Match Nul,284,2
100,Equipe_2,250,2
100,Match Nul,277,2
100,Equipe_1,117,3
100,Match Nul,227,2
100,Match Nul,246,2
100,Equipe_1,167,2
100,Equipe_1,273,2
100,Equipe_1,370,2
100,Equipe_2,215,2
100,Match Nul,352,4
100,Equipe_1,152,3
100,Match Nul,257,2
100,Equipe_2,310,2
100,Equipe_1,446,2
100,Equipe_1,268,2
100,Match Nul,243,2
