Nombre d'Equipes = 4
Joueurs Par Equipe = 2
Profondeur IA = 10
Nombre Parties = 200

Parties,T1,T2,T3,T4,Conf %
NbParties,ABS|VoH,MaxN|VoH,PaS|VoH,SOS|VoH,
200,74.0%,9.0%,5.0%,4.5%,±6.06%
20,85.0%,5.0%,0.0%,5.0%,±16.25%
30,73.3%,3.3%,3.3%,6.7%,±15.34%
6,66.7%,0.0%,0.0%,0.0%,±30.59%
Total,74.6%,7.8%,4.3%,4.7%,±5.32%

TailleGrille,EquipeGagnante,TempsMs,NbTours
400,Equipe_2,317744,7
400,Equipe_2,383866,5
400,Equipe_1,317224,6
400,Equipe_1,103421,4
400,Equipe_2,97936,7
400,Equipe_1,407662,4
400,Equipe_1,249882,6
400,Equipe_1,314020,3
400,Equipe_3,215906,4
400,Equipe_2,211019,4
400,Match Nul,157255,8
400,Equipe_1,321590,7
400,Equipe_1,237235,3
400,Equipe_1,90328,5
400,Equipe_1,314435,6
400,Equipe_1,459112,6
400,Equipe_2,405063,9
400,Equipe_1,232452,6
400,Equipe_1,503958,5
400,Equipe_4,368426,8
400,Equipe_1,247210,4
400,Equipe_1,332050,7
400,Equipe_1,278042,6
400,Equipe_2,158727,7
400,Equipe_1,133330,7
400,Equipe_1,350635,7
400,Equipe_1,180439,4
400,Equipe_1,211664,5
400,Equipe_1,143071,4
400,Equipe_4,223253,10
400,Equipe_1,216395,4
400,Equipe_3,211294,9
400,Equipe_1,185916,4
400,Equipe_1,162354,7
400,Equipe_3,155678,3
400,Equipe_1,227195,6
400,Equipe_4,128127,7
400,Equipe_1,167011,4
400,Equipe_1,272343,6
400,Match Nul,238787,5
400,Equipe_1,128684,11
400,Equipe_1,119104,5
400,Equipe_1,220361,3
400,Equipe_1,705508,6
400,Equipe_1,692583,5
400,Equipe_1,689857,5
400,Equipe_1,96833,4
400,Match Nul,90354,9
400,Match Nul,759854,9
400,Equipe_1,779847,4
400,Equipe_2,583331,12
400,Equipe_1,558350,4
400,Equipe_1,839226,6
400,Equipe_2,164442,7
400,Equipe_1,206259,6
400,Equipe_1,407524,9
400,Equipe_1,197118,5
400,Equipe_1,275329,4
400,Equipe_2,143482,4
400,Equipe_1,32945,9
400,Equipe_2,217763,5
400,Equipe_1,206232,5
400,Equipe_3,306185,3
400,Equipe_2,390209,7
400,Equipe_1,245355,6
400,Equipe_1,408178,10
400,Equipe_1,289628,6
400,Equipe_1,243258,3
400,Equipe_1,241004,8
400,Equipe_1,179082,5
400,Equipe_1,16021,5
400,Equipe_1,178596,7
400,Equipe_1,170856,4
400,Match Nul,144727,6
400,Equipe_1,140949,5
400,Equipe_1,104307,9
400,Equipe_3,379074,7
400,Equipe_1,93033,5
400,Equipe_1,266038,6
400,Equipe_1,170648,6
400,Equipe_1,362375,10
400,Equipe_1,324011,6
400,Equipe_1,295177,8
400,Equipe_1,207300,16
400,Equipe_1,125595,5
400,Equipe_2,204181,9
400,Equipe_1,320012,7
400,Equipe_1,244521,9
400,Equipe_3,228788,5
400,Equipe_1,172307,3
400,Equipe_1,520243,5
400,Equipe_2,154797,5
400,Equipe_1,131471,4
400,Equipe_1,128495,8
400,Match Nul,213695,11
400,Match Nul,259273,10
400,Equipe_1,698664,7
400,Equipe_3,595911,8
400,Equipe_1,581787,4
400,Equipe_1,248160,4
400,Equipe_1,814115,7
400,Equipe_4,115551,8
400,Equipe_1,332992,6
400,Equipe_1,198836,5
400,Equipe_1,137158,6
400,Equipe_1,250955,5
400,Match Nul,148114,5
400,Equipe_1,241626,7
400,Equipe_1,112053,4
400,Match Nul,542532,10
400,Equipe_2,220885,9
400,Equipe_3,521811,5
400,Equipe_1,974939,5
400,Equipe_1,423056,6
400,Equipe_1,223835,3
400,Equipe_1,226391,5
400,Equipe_1,303532,3
400,Equipe_1,431324,13
400,Equipe_1,472959,4
400,Equipe_1,325964,6
400,Equipe_1,296647,4
400,Equipe_1,155387,5
400,Equipe_1,190923,5
400,Equipe_1,179827,6
400,Equipe_1,651244,6
400,Equipe_1,358057,6
400,Equipe_1,208933,3
400,Equipe_3,539476,7
400,Equipe_1,279864,12
400,Equipe_4,273291,8
400,Equipe_1,204624,5
400,Equipe_1,178913,5
400,Equipe_1,161240,5
400,Equipe_1,188181,11
400,Equipe_1,83879,6
400,Equipe_1,53669,6
400,Equipe_1,114510,4
400,Equipe_1,116065,5
400,Equipe_1,211732,4
400,Equipe_1,260519,10
400,Equipe_1,274650,7
400,Equipe_1,72871,5
400,Match Nul,172010,8
400,Equipe_1,165244,5
400,Match Nul,167189,7
400,Equipe_1,83530,6
400,Equipe_1,121592,12
400,Equipe_1,118631,7
400,Match Nul,35260,8
400,Equipe_4,164126,5
400,Equipe_1,63040,4
400,Equipe_1,59750,6
400,Match Nul,43601,10
400,Equipe_1,72973,12
400,Equipe_1,231821,5
400,Equipe_4,238207,10
400,Equipe_1,230623,6
400,Equipe_1,611493,5
400,Equipe_1,131542,6
400,Equipe_1,135308,6
400,Equipe_1,160119,3
400,Equipe_1,125810,7
400,Equipe_1,979022,3
400,Equipe_1,842737,6
400,Equipe_1,390785,12
400,Equipe_2,383137,6
400,Match Nul,802487,8
400,Equipe_1,381470,4
400,Equipe_1,376169,7
400,Equipe_1,360998,4
400,Equipe_1,362317,4
400,Equipe_1,363310,9
