
# CONFIG: P12_D3_MinMaxStrategie_FreeSpaceHeuristic_VS_AlphaBetaStrategie_FreeSpaceHeuristic
Nombre d'Equipes = 2
Joueurs Par Equipe = 2
Profondeur IA = 3
Nombre Parties = 50


TailleGrille,EquipeGagnante,TempsMoyen,NbMoyenTours
144,Match Nul,85,2
144,Match Nul,84,2
144,Match Nul,85,2
144,Match Nul,85,2
144,Match Nul,85,2
144,Match Nul,72,2
144,Match Nul,82,2
144,Match Nul,86,2
144,Match Nul,19,2
144,Match Nul,10,2
144,Match Nul,11,2
144,Match Nul,17,2
144,Match Nul,9,2
144,Match Nul,26,2
144,Match Nul,9,2
144,Match Nul,41,2
144,Match Nul,14,2
144,Match Nul,7,2
144,Match Nul,11,2
144,Match Nul,11,2
144,Match Nul,16,2
144,Match Nul,28,2
144,Match Nul,9,2
144,Match Nul,12,2
144,Match Nul,9,2
144,Match Nul,7,2
144,Match Nul,15,2
144,Match Nul,15,2
144,Match Nul,6,2
144,Match Nul,6,2
144,Match Nul,14,2
144,Match Nul,18,2
144,Match Nul,13,2
144,Match Nul,11,2
144,Match Nul,14,2
144,Match Nul,20,2
144,Match Nul,4,2
144,Match Nul,14,2
144,Match Nul,5,2
144,Match Nul,17,2
144,Match Nul,13,2
144,Match Nul,17,2
144,Match Nul,9,2
144,Match Nul,9,2
144,Match Nul,16,2
144,Match Nul,8,2
144,Match Nul,15,2
144,Match Nul,9,2
144,Match Nul,15,2
144,Match Nul,13,2

# CONFIG: P12_D3_MinMaxStrategie_FreeSpaceHeuristic_VS_AlphaBetaStrategie_VoronoiHeuristic
Nombre d'Equipes = 2
Joueurs Par Equipe = 2
Profondeur IA = 3
Nombre Parties = 50


TailleGrille,EquipeGagnante,TempsMoyen,NbMoyenTours
144,Match Nul,71,2
144,Match Nul,105,2
144,Match Nul,91,2
144,Match Nul,94,2
144,Match Nul,101,2
144,Match Nul,108,2
144,Match Nul,91,2
144,Match Nul,104,2
144,Match Nul,43,2
144,Match Nul,22,2
144,Match Nul,22,2
144,Match Nul,18,2
144,Match Nul,17,2
144,Match Nul,14,2
144,Match Nul,12,2
144,Match Nul,10,2
144,Match Nul,13,2
144,Match Nul,22,2
144,Match Nul,5,2
144,Match Nul,16,2
144,Match Nul,12,2
144,Match Nul,13,2
144,Match Nul,9,2
144,Match Nul,19,2
144,Match Nul,18,2
144,Match Nul,6,2
144,Match Nul,10,2
144,Match Nul,10,2
144,Match Nul,13,2
144,Match Nul,15,2
144,Match Nul,13,2
144,Match Nul,8,2
144,Match Nul,7,2
144,Match Nul,16,2
144,Match Nul,7,2
144,Match Nul,7,2
144,Match Nul,9,2
144,Match Nul,14,2
144,Match Nul,16,2
144,Match Nul,8,2
144,Match Nul,9,2
144,Match Nul,12,2
144,Match Nul,16,2
144,Match Nul,17,2
144,Match Nul,8,2
144,Match Nul,9,2
144,Match Nul,8,2
144,Match Nul,10,2
144,Match Nul,13,2
144,Match Nul,11,2

# CONFIG: P12_D3_MinMaxStrategie_VoronoiHeuristic_VS_AlphaBetaStrategie_FreeSpaceHeuristic
Nombre d'Equipes = 2
Joueurs Par Equipe = 2
Profondeur IA = 3
Nombre Parties = 50


TailleGrille,EquipeGagnante,TempsMoyen,NbMoyenTours
144,Match Nul,86,2
144,Match Nul,86,2
144,Match Nul,85,2
144,Match Nul,92,2
144,Match Nul,86,2
144,Match Nul,88,2
144,Match Nul,86,2
144,Match Nul,74,2
144,Match Nul,20,2
144,Match Nul,11,2
144,Match Nul,12,2
144,Match Nul,10,2
144,Match Nul,15,2
144,Match Nul,23,2
144,Match Nul,24,2
144,Match Nul,7,2
144,Match Nul,10,2
144,Match Nul,13,2
144,Match Nul,7,2
144,Match Nul,10,2
144,Match Nul,9,2
144,Match Nul,9,2
144,Match Nul,7,2
144,Match Nul,7,2
144,Match Nul,8,2
144,Match Nul,7,2
144,Match Nul,13,2
144,Match Nul,10,2
144,Match Nul,12,2
144,Match Nul,13,2
144,Match Nul,13,2
