# EXPÉRIENCES DUEL - ven. 20 mars 2026 19:45:51 CET
# Plateau: 12 15, Profondeurs: 3 4
# Stratégies: MinMaxStrategie AlphaBetaStrategie MaxNStrategie ParanoidStrategie
# Heuristiques: FreeSpaceHeuristic VoronoiHeuristic
# Parties par config: 50


# CONFIG: P12_D3_MinMaxStrategie_FreeSpaceHeuristic_VS_AlphaBetaStrategie_FreeSpaceHeuristic
# Plateau: 12x12, Profondeur: 3
# Stratégies: MinMaxStrategie (FreeSpaceHeuristic) vs AlphaBetaStrategie (FreeSpaceHeuristic)
# Parties: 50
Nombre d'Equipes = 2
Joueurs Par Equipe = 1
Profondeur IA = 3
Nombre Parties = 50


TailleGrille,EquipeGagnante,TempsMoyen,NbMoyenTours
144,Match Nul,62,2
144,Match Nul,59,2
144,Match Nul,56,2
144,Match Nul,48,2
144,Match Nul,44,2
144,Match Nul,65,2
144,Match Nul,41,2
144,Match Nul,24,2
144,Match Nul,19,2
144,Match Nul,19,2
144,Match Nul,43,2
144,Match Nul,48,2
144,Match Nul,33,2
144,Match Nul,33,2
144,Match Nul,17,2
144,Match Nul,31,2
144,Match Nul,32,2
144,Match Nul,37,2
144,Match Nul,32,2
144,Match Nul,27,2
144,Match Nul,22,2
144,Match Nul,22,2
144,Match Nul,22,2
144,Match Nul,16,2
144,Match Nul,15,2
144,Match Nul,8,2
144,Match Nul,6,2
144,Match Nul,4,2
144,Match Nul,4,2
144,Match Nul,2,2
144,Match Nul,3,2
144,Match Nul,2,2
144,Match Nul,4,2
144,Match Nul,4,2
144,Match Nul,3,2
144,Match Nul,4,2
144,Match Nul,4,2
144,Match Nul,3,2
144,Match Nul,3,2
144,Match Nul,4,2
144,Match Nul,4,2
144,Match Nul,7,2
144,Match Nul,4,2
144,Match Nul,6,2
144,Match Nul,5,2
144,Match Nul,6,2
144,Match Nul,5,2
144,Match Nul,6,2
144,Match Nul,5,2
144,Match Nul,3,2

# CONFIG: P12_D3_MinMaxStrategie_FreeSpaceHeuristic_VS_AlphaBetaStrategie_VoronoiHeuristic
# Plateau: 12x12, Profondeur: 3
# Stratégies: MinMaxStrategie (FreeSpaceHeuristic) vs AlphaBetaStrategie (VoronoiHeuristic)
# Parties: 50
Nombre d'Equipes = 2
Joueurs Par Equipe = 1
Profondeur IA = 3
Nombre Parties = 50


TailleGrille,EquipeGagnante,TempsMoyen,NbMoyenTours
144,Match Nul,36,2
144,Equipe_2,38,2
144,Equipe_2,34,2
144,Equipe_2,54,2
144,Equipe_2,18,2
144,Equipe_2,38,2
144,Equipe_2,29,2
144,Equipe_2,42,2
144,Equipe_2,18,2
144,Equipe_2,22,2
144,Equipe_2,33,2
144,Match Nul,18,2
144,Equipe_2,38,2
144,Equipe_2,49,2
144,Equipe_2,22,2
144,Match Nul,24,2
144,Equipe_2,10,2
144,Equipe_2,24,2
144,Equipe_2,32,2
144,Equipe_2,25,2
144,Equipe_2,27,2
144,Equipe_2,41,2
144,Equipe_2,25,2
144,Equipe_2,26,2
144,Equipe_2,20,2
144,Match Nul,10,2
144,Equipe_2,17,2
144,Equipe_2,16,2
144,Match Nul,14,2
144,Equipe_2,10,2
144,Equipe_2,9,2
144,Equipe_2,7,2
144,Equipe_2,7,2
144,Match Nul,4,2
144,Match Nul,2,2
144,Equipe_2,4,2
144,Equipe_2,3,2
144,Equipe_2,3,2
144,Equipe_2,3,2
144,Match Nul,3,2
144,Equipe_2,2,2
144,Equipe_2,2,2
144,Equipe_2,3,2
144,Equipe_2,3,2
144,Match Nul,3,2
144,Equipe_2,6,2
144,Match Nul,3,2
144,Match Nul,4,2
144,Equipe_2,2,2
144,Match Nul,2,2

# CONFIG: P12_D3_MinMaxStrategie_VoronoiHeuristic_VS_AlphaBetaStrategie_FreeSpaceHeuristic
# Plateau: 12x12, Profondeur: 3
# Stratégies: MinMaxStrategie (VoronoiHeuristic) vs AlphaBetaStrategie (FreeSpaceHeuristic)
# Parties: 50
Nombre d'Equipes = 2
Joueurs Par Equipe = 1
Profondeur IA = 3
Nombre Parties = 50


TailleGrille,EquipeGagnante,TempsMoyen,NbMoyenTours
144,Equipe_1,23,2
144,Equipe_1,25,2
144,Equipe_1,23,2
144,Equipe_1,37,2
144,Equipe_1,26,2
144,Equipe_1,21,2
144,Equipe_1,42,2
144,Equipe_1,43,2
144,Equipe_1,37,2
144,Equipe_1,22,2
144,Equipe_1,18,2
144,Equipe_1,26,2
144,Equipe_1,16,2
144,Equipe_1,12,2
144,Equipe_1,13,2
144,Equipe_1,5,2
144,Equipe_1,11,2
144,Equipe_1,11,2
144,Equipe_1,27,2
144,Equipe_1,26,2
144,Equipe_1,7,2
144,Equipe_1,26,2
144,Equipe_1,12,2
144,Equipe_1,10,2
144,Equipe_1,12,2
144,Equipe_1,11,2
144,Equipe_1,13,2
144,Equipe_1,10,2
144,Equipe_1,37,2
144,Equipe_1,19,2
144,Equipe_1,16,2
144,Equipe_1,17,2
144,Equipe_1,18,2
144,Equipe_1,7,2
144,Equipe_1,19,2
