# EXPÉRIENCES DUEL - sam. 21 mars 2026 23:23:33 CET
# Plateau: 12 15, Profondeurs: 3 4
# Stratégies: MinMaxStrategie AlphaBetaStrategie MaxNStrategie ParanoidStrategie
# Heuristiques: FreeSpaceHeuristic VoronoiHeuristic
# Parties par config: 50


# CONFIG: P12_D3_MinMaxStrategie_FreeSpaceHeuristic_VS_AlphaBetaStrategie_FreeSpaceHeuristic
# Plateau: 12x12, Profondeur: 3
# Stratégies: MinMaxStrategie (FreeSpaceHeuristic) vs AlphaBetaStrategie (FreeSpaceHeuristic)
# Parties: 50
Nombre d'Equipes = 2
Joueurs Par Equipe = 1
Profondeur IA = 3
Nombre Parties = 50


TailleGrille,EquipeGagnante,TempsMoyen,NbMoyenTours
144,Match Nul,100,2
144,Match Nul,109,2
144,Match Nul,108,2
144,Match Nul,118,2
144,Match Nul,121,2
144,Match Nul,117,2
144,Match Nul,108,2
144,Match Nul,150,2
144,Match Nul,56,2
144,Match Nul,53,2
144,Match Nul,60,2
144,Match Nul,45,2
144,Match Nul,54,2
144,Match Nul,51,2
144,Match Nul,54,2
144,Match Nul,32,2
144,Match Nul,15,2
144,Match Nul,10,2
144,Equipe_2,9,2
144,Match Nul,13,2
144,Match Nul,5,2
144,Match Nul,10,2
144,Match Nul,11,2
144,Match Nul,7,2
144,Match Nul,6,2
144,Match Nul,8,2
144,Match Nul,6,2
144,Match Nul,7,2
144,Match Nul,3,2
144,Match Nul,7,2
144,Match Nul,2,2
144,Match Nul,4,2
144,Match Nul,5,2
144,Match Nul,3,2
144,Match Nul,3,2
144,Match Nul,3,2
144,Match Nul,4,2
144,Match Nul,4,2
144,Match Nul,6,2
144,Match Nul,9,2
144,Match Nul,2,2
144,Match Nul,7,2
144,Match Nul,8,2
144,Match Nul,7,2
144,Match Nul,6,2
144,Match Nul,6,2
144,Match Nul,7,2
144,Match Nul,6,2
144,Match Nul,3,2
144,Match Nul,2,2

# CONFIG: P12_D3_MinMaxStrategie_FreeSpaceHeuristic_VS_AlphaBetaStrategie_VoronoiHeuristic
# Plateau: 12x12, Profondeur: 3
# Stratégies: MinMaxStrategie (FreeSpaceHeuristic) vs AlphaBetaStrategie (VoronoiHeuristic)
# Parties: 50
Nombre d'Equipes = 2
Joueurs Par Equipe = 1
Profondeur IA = 3
Nombre Parties = 50


TailleGrille,EquipeGagnante,TempsMoyen,NbMoyenTours
144,Equipe_2,43,2
144,Equipe_2,40,2
144,Equipe_2,28,2
144,Equipe_2,64,2
144,Equipe_2,59,2
144,Equipe_2,75,2
144,Match Nul,60,2
144,Match Nul,38,2
144,Equipe_2,19,2
144,Equipe_2,25,2
144,Equipe_2,38,2
144,Match Nul,21,2
144,Match Nul,58,2
144,Equipe_2,38,2
144,Equipe_2,38,2
144,Equipe_2,22,2
144,Match Nul,37,2
144,Equipe_2,20,2
144,Equipe_2,36,2
144,Equipe_2,38,2
144,Equipe_2,38,2
144,Equipe_2,40,2
144,Equipe_2,44,2
144,Match Nul,15,2
144,Match Nul,26,2
144,Equipe_2,22,2
144,Equipe_2,45,2
144,Equipe_2,28,2
144,Equipe_2,23,2
144,Match Nul,32,2
144,Equipe_2,28,2
144,Equipe_2,31,2
144,Equipe_2,23,2
144,Match Nul,23,2
144,Match Nul,14,2
144,Match Nul,11,2
144,Equipe_2,10,2
144,Equipe_2,3,2
144,Equipe_2,3,2
144,Match Nul,3,2
144,Equipe_2,3,2
144,Equipe_2,3,2
144,Equipe_2,3,2
144,Equipe_2,5,2
144,Equipe_2,6,2
144,Match Nul,2,2
144,Equipe_2,3,2
144,Match Nul,4,2
144,Equipe_2,3,2
144,Equipe_2,3,2

# CONFIG: P12_D3_MinMaxStrategie_VoronoiHeuristic_VS_AlphaBetaStrategie_FreeSpaceHeuristic
# Plateau: 12x12, Profondeur: 3
# Stratégies: MinMaxStrategie (VoronoiHeuristic) vs AlphaBetaStrategie (FreeSpaceHeuristic)
# Parties: 50
Nombre d'Equipes = 2
Joueurs Par Equipe = 1
Profondeur IA = 3
Nombre Parties = 50


TailleGrille,EquipeGagnante,TempsMoyen,NbMoyenTours
144,Equipe_1,23,2
144,Equipe_1,33,2
144,Equipe_1,29,2
144,Equipe_1,45,2
144,Equipe_1,53,2
144,Equipe_1,55,2
144,Equipe_1,42,2
144,Equipe_1,31,2
144,Equipe_1,33,2
144,Equipe_1,26,2
144,Equipe_1,28,2
144,Equipe_1,23,2
144,Equipe_1,36,2
144,Equipe_1,33,2
144,Equipe_1,31,2
144,Equipe_1,35,2
144,Equipe_1,26,2
144,Equipe_1,27,2
144,Equipe_1,21,2
144,Equipe_1,29,2
144,Equipe_1,23,2
144,Equipe_1,31,2
144,Equipe_1,20,2
144,Equipe_1,22,2
144,Equipe_1,32,2
144,Equipe_1,41,2
144,Equipe_1,23,2
144,Equipe_1,27,2
144,Equipe_1,19,2
144,Equipe_1,35,2
144,Equipe_1,47,2
144,Equipe_1,36,2
144,Equipe_1,30,2
144,Equipe_1,42,2
144,Equipe_1,23,2
144,Equipe_1,21,2
144,Equipe_1,41,2
144,Equipe_1,17,2
144,Equipe_1,14,2
144,Equipe_1,19,2
144,Equipe_1,15,2
144,Equipe_1,11,2
144,Equipe_1,21,2
144,Equipe_1,22,2
144,Equipe_1,23,4
144,Equipe_1,15,2
144,Equipe_1,17,2
144,Equipe_1,19,2
144,Equipe_1,17,2
144,Equipe_1,12,2

# CONFIG: P12_D3_MinMaxStrategie_VoronoiHeuristic_VS_AlphaBetaStrategie_VoronoiHeuristic
# Plateau: 12x12, Profondeur: 3
# Stratégies: MinMaxStrategie (VoronoiHeuristic) vs AlphaBetaStrategie (VoronoiHeuristic)
# Parties: 50
Nombre d'Equipes = 2
Joueurs Par Equipe = 1
Profondeur IA = 3
Nombre Parties = 50


TailleGrille,EquipeGagnante,TempsMoyen,NbMoyenTours
144,Equipe_2,90,3
144,Equipe_1,61,3
144,Equipe_1,105,6
144,Equipe_1,44,3
144,Match Nul,139,6
144,Equipe_1,48,3
144,Match Nul,112,5
144,Equipe_2,104,4
144,Equipe_2,62,3
144,Equipe_1,22,2
144,Equipe_1,41,3
144,Match Nul,29,3
144,Equipe_2,41,4
144,Equipe_1,8,2
144,Equipe_1,54,6
144,Equipe_1,39,3
144,Match Nul,22,3
144,Equipe_1,16,2
144,Equipe_1,10,2
144,Equipe_1,12,3
144,Equipe_1,11,2
144,Equipe_2,34,4
144,Equipe_1,18,3
144,Match Nul,28,4
144,Equipe_1,25,4
144,Match Nul,26,4
144,Match Nul,20,4
144,Equipe_1,19,5
144,Equipe_1,12,2
144,Equipe_1,2,2
144,Equipe_1,7,5
144,Equipe_1,2,4
144,Equipe_1,12,7
144,Equipe_1,11,6
144,Equipe_1,1,2
144,Equipe_1,2,3
144,Equipe_1,8,4
144,Equipe_1,6,3
144,Equipe_1,1,2
144,Equipe_1,2,2
144,Match Nul,8,3
144,Equipe_1,3,3
144,Equipe_1,3,3
144,Equipe_1,6,3
144,Equipe_1,3,3
144,Equipe_1,5,4
144,Match Nul,3,3
144,Equipe_1,2,2
144,Equipe_1,3,2
144,Match Nul,3,4

# CONFIG: P12_D3_MinMaxStrategie_FreeSpaceHeuristic_VS_MaxNStrategie_FreeSpaceHeuristic
# Plateau: 12x12, Profondeur: 3
# Stratégies: MinMaxStrategie (FreeSpaceHeuristic) vs MaxNStrategie (FreeSpaceHeuristic)
# Parties: 50
Nombre d'Equipes = 2
Joueurs Par Equipe = 1
