# EXPÉRIENCES DUEL - dim. 22 mars 2026 09:54:58 CET
# Plateau: 12 15, Profondeurs: 3 4
# Stratégies: MinMaxStrategie AlphaBetaStrategie MaxNStrategie ParanoidStrategie
# Heuristiques: FreeSpaceHeuristic VoronoiHeuristic
# Parties par config: 50


# CONFIG: P12_D3_MinMaxStrategie_FreeSpaceHeuristic_VS_AlphaBetaStrategie_FreeSpaceHeuristic
# Plateau: 12x12, Profondeur: 3
# Stratégies: MinMaxStrategie (FreeSpaceHeuristic) vs AlphaBetaStrategie (FreeSpaceHeuristic)
# Parties: 50
Nombre d'Equipes = 2
Joueurs Par Equipe = 1
Profondeur IA = 3
Nombre Parties = 50


TailleGrille,EquipeGagnante,TempsMoyen,NbMoyenTours
144,Match Nul,77,2
144,Match Nul,75,2
144,Match Nul,79,2
144,Match Nul,80,2
144,Match Nul,78,2
144,Match Nul,78,2
144,Match Nul,45,2
144,Match Nul,42,2
144,Match Nul,25,2
144,Match Nul,21,2
144,Match Nul,6,2
144,Match Nul,4,2
144,Match Nul,2,2
144,Match Nul,3,2
144,Match Nul,3,2
144,Match Nul,3,2
144,Match Nul,4,2
144,Match Nul,3,2
144,Match Nul,4,2
144,Match Nul,3,2
144,Match Nul,3,2
144,Match Nul,6,2
144,Match Nul,4,2
144,Match Nul,5,2
144,Match Nul,4,2
144,Match Nul,4,2
144,Match Nul,5,2
144,Match Nul,6,2
144,Match Nul,1,2
144,Match Nul,3,2
144,Match Nul,2,2
144,Match Nul,2,2
144,Match Nul,2,2
144,Match Nul,2,2
144,Match Nul,1,2
144,Match Nul,1,2
144,Match Nul,6,2
144,Match Nul,2,2
144,Match Nul,2,2
144,Match Nul,1,2
144,Match Nul,3,2
144,Match Nul,3,2
144,Match Nul,2,2
144,Match Nul,4,2
144,Match Nul,5,2
144,Match Nul,4,2
144,Match Nul,3,2
144,Match Nul,3,2
144,Match Nul,3,2
144,Match Nul,2,2

# CONFIG: P12_D3_MinMaxStrategie_FreeSpaceHeuristic_VS_AlphaBetaStrategie_VoronoiHeuristic
# Plateau: 12x12, Profondeur: 3
# Stratégies: MinMaxStrategie (FreeSpaceHeuristic) vs AlphaBetaStrategie (VoronoiHeuristic)
# Parties: 50
Nombre d'Equipes = 2
Joueurs Par Equipe = 1
Profondeur IA = 3
Nombre Parties = 50


TailleGrille,EquipeGagnante,TempsMoyen,NbMoyenTours
144,Match Nul,32,2
144,Equipe_2,77,2
144,Match Nul,37,2
144,Equipe_2,74,2
144,Match Nul,51,2
144,Equipe_2,36,2
144,Equipe_2,31,2
144,Equipe_2,34,2
144,Equipe_2,34,2
144,Equipe_2,40,2
144,Equipe_2,23,2
144,Match Nul,24,2
144,Match Nul,43,2
144,Equipe_2,31,2
144,Equipe_2,18,2
144,Equipe_2,14,2
144,Equipe_2,9,2
144,Equipe_2,3,2
144,Equipe_2,5,2
144,Equipe_2,7,2
144,Match Nul,2,2
144,Equipe_2,5,2
144,Equipe_2,4,2
144,Equipe_2,4,2
144,Equipe_2,4,2
144,Equipe_2,3,2
144,Match Nul,8,2
144,Match Nul,3,2
144,Equipe_2,8,2
144,Match Nul,10,2
144,Equipe_2,6,2
144,Equipe_2,4,2
144,Equipe_2,6,2
144,Equipe_2,5,2
144,Equipe_2,3,2
144,Match Nul,1,2
144,Match Nul,1,2
144,Equipe_2,1,2
144,Match Nul,1,2
144,Match Nul,2,2
144,Equipe_2,2,2
144,Equipe_2,4,2
144,Equipe_2,2,2
144,Equipe_2,1,2
144,Equipe_2,2,2
144,Equipe_2,2,2
144,Equipe_2,1,2
144,Equipe_2,1,2
144,Equipe_2,1,2
144,Equipe_2,1,2

# CONFIG: P12_D3_MinMaxStrategie_VoronoiHeuristic_VS_AlphaBetaStrategie_FreeSpaceHeuristic
# Plateau: 12x12, Profondeur: 3
# Stratégies: MinMaxStrategie (VoronoiHeuristic) vs AlphaBetaStrategie (FreeSpaceHeuristic)
# Parties: 50
Nombre d'Equipes = 2
Joueurs Par Equipe = 1
Profondeur IA = 3
Nombre Parties = 50


TailleGrille,EquipeGagnante,TempsMoyen,NbMoyenTours
144,Equipe_1,39,2
144,Equipe_1,43,2
144,Equipe_1,40,2
144,Equipe_1,40,2
144,Equipe_1,87,2
144,Equipe_1,78,2
144,Equipe_1,41,2
144,Equipe_1,41,2
144,Equipe_1,38,2
144,Equipe_1,38,2
144,Equipe_1,26,2
144,Equipe_1,33,2
144,Equipe_1,46,2
144,Equipe_1,41,2
144,Equipe_1,33,2
144,Equipe_1,25,2
144,Equipe_1,44,2
144,Equipe_1,42,2
144,Equipe_1,21,2
144,Equipe_1,34,2
144,Equipe_1,33,2
144,Equipe_1,30,2
144,Equipe_1,20,2
144,Equipe_1,20,2
144,Equipe_1,20,2
144,Equipe_1,2,2
144,Equipe_1,2,2
144,Equipe_1,2,2
144,Equipe_1,2,2
144,Equipe_1,2,2
144,Equipe_1,6,2
144,Equipe_1,3,2
144,Equipe_1,2,2
144,Equipe_1,4,2
144,Equipe_1,4,2
144,Equipe_1,3,2
144,Equipe_1,4,2
144,Equipe_1,3,2
144,Equipe_1,5,2
144,Equipe_1,3,2
144,Equipe_1,0,2
144,Equipe_1,1,2
144,Equipe_1,3,2
144,Equipe_1,1,2
144,Equipe_1,1,2
144,Equipe_1,1,2
144,Equipe_1,1,2
144,Equipe_1,1,2
144,Equipe_1,1,2
144,Equipe_1,1,2

# CONFIG: P12_D3_MinMaxStrategie_VoronoiHeuristic_VS_AlphaBetaStrategie_VoronoiHeuristic
# Plateau: 12x12, Profondeur: 3
# Stratégies: MinMaxStrategie (VoronoiHeuristic) vs AlphaBetaStrategie (VoronoiHeuristic)
# Parties: 50
Nombre d'Equipes = 2
Joueurs Par Equipe = 1
Profondeur IA = 3
Nombre Parties = 50


TailleGrille,EquipeGagnante,TempsMoyen,NbMoyenTours
144,Equipe_2,75,3
144,Equipe_1,65,3
144,Equipe_1,35,2
144,Equipe_1,90,5
144,Equipe_1,60,2
144,Equipe_1,34,2
144,Equipe_1,62,3
144,Match Nul,69,3
144,Equipe_1,41,3
144,Equipe_1,56,4
144,Equipe_1,31,2
144,Equipe_1,25,2
144,Equipe_2,26,4
144,Equipe_1,19,3
144,Equipe_1,18,4
144,Equipe_1,15,2
144,Equipe_1,5,2
144,Equipe_1,5,3
144,Equipe_1,2,2
144,Equipe_1,10,7
144,Equipe_1,2,3
144,Equipe_2,8,5
144,Equipe_1,4,3
144,Equipe_1,2,2
144,Equipe_1,2,3
144,Equipe_1,2,2
144,Equipe_1,2,3
144,Match Nul,9,4
144,Match Nul,3,3
144,Equipe_1,2,3
144,Equipe_1,2,2
144,Equipe_1,3,3
144,Equipe_1,3,2
144,Equipe_2,10,6
144,Equipe_1,2,3
144,Equipe_1,2,2
144,Equipe_2,3,3
144,Equipe_1,3,3
144,Equipe_1,1,1
144,Equipe_2,7,6
144,Equipe_1,6,3
144,Equipe_1,3,3
144,Equipe_1,2,4
144,Equipe_2,1,3
144,Equipe_1,1,3
144,Equipe_2,2,4
144,Equipe_1,2,2
144,Equipe_1,0,2
144,Equipe_2,2,3
144,Equipe_2,3,4

# CONFIG: P12_D3_MinMaxStrategie_FreeSpaceHeuristic_VS_MaxNStrategie_FreeSpaceHeuristic
# Plateau: 12x12, Profondeur: 3
# Stratégies: MinMaxStrategie (FreeSpaceHeuristic) vs MaxNStrategie (FreeSpaceHeuristic)
# Parties: 50
Nombre d'Equipes = 2
Joueurs Par Equipe = 1
Profondeur IA = 3
Nombre Parties = 50


TailleGrille,EquipeGagnante,TempsMoyen,NbMoyenTours
144,Match Nul,162,2
144,Match Nul,157,2
144,Match Nul,154,2
144,Match Nul,157,2
144,Match Nul,162,2
144,Match Nul,156,2
144,Match Nul,163,2
144,Match Nul,153,2
144,Match Nul,33,2
144,Match Nul,8,2
144,Match Nul,20,2
144,Match Nul,20,2
144,Match Nul,8,2
144,Match Nul,25,2
144,Match Nul,11,2
144,Match Nul,16,2
144,Match Nul,19,2
144,Match Nul,13,2
144,Match Nul,10,2
144,Match Nul,23,2
144,Match Nul,18,2
144,Match Nul,22,2
144,Match Nul,14,2
144,Match Nul,16,2
144,Match Nul,14,2
144,Match Nul,19,2
144,Match Nul,9,2
144,Match Nul,22,2
144,Match Nul,15,2
144,Match Nul,9,2
144,Match Nul,11,2
144,Match Nul,25,2
144,Match Nul,8,2
144,Match Nul,36,2
144,Match Nul,7,2
144,Match Nul,7,2
144,Match Nul,27,2
144,Match Nul,30,2
144,Match Nul,22,2
144,Match Nul,62,2
144,Match Nul,24,2
144,Match Nul,97,2
144,Match Nul,13,2
144,Match Nul,80,2
144,Match Nul,80,2
144,Match Nul,74,2
144,Match Nul,79,2
144,Match Nul,75,2
144,Match Nul,76,2
144,Match Nul,43,2

# CONFIG: P12_D3_MinMaxStrategie_FreeSpaceHeuristic_VS_MaxNStrategie_VoronoiHeuristic
# Plateau: 12x12, Profondeur: 3
# Stratégies: MinMaxStrategie (FreeSpaceHeuristic) vs MaxNStrategie (VoronoiHeuristic)
# Parties: 50
Nombre d'Equipes = 2
Joueurs Par Equipe = 1
Profondeur IA = 3
Nombre Parties = 50


