# EXPÉRIENCES DUEL - lun. 23 mars 2026 22:08:27 CET
# Plateau: 12 15, Profondeurs: 3 4
# Stratégies: MinMaxStrategie AlphaBetaStrategie MaxNStrategie ParanoidStrategie
# Heuristiques: FreeSpaceHeuristic VoronoiHeuristic
# Parties par config: 50


# CONFIG: P12_D3_MinMaxStrategie_FreeSpaceHeuristic_VS_AlphaBetaStrategie_FreeSpaceHeuristic
# Plateau: 12x12, Profondeur: 3
# Stratégies: MinMaxStrategie (FreeSpaceHeuristic) vs AlphaBetaStrategie (FreeSpaceHeuristic)
# Parties: 50
Nombre d'Equipes = 2
Joueurs Par Equipe = 1
Profondeur IA = 3
Nombre Parties = 50


TailleGrille,EquipeGagnante,TempsMoyen,NbMoyenTours
144,Equipe_2,48,2
144,Match Nul,84,2
144,Match Nul,84,2
144,Match Nul,94,2
144,Match Nul,119,2
144,Match Nul,108,2
144,Match Nul,95,2
144,Match Nul,97,2
144,Match Nul,60,2
144,Match Nul,44,2
144,Match Nul,43,2
144,Match Nul,40,2
144,Match Nul,40,2
144,Equipe_2,40,2
144,Match Nul,28,2
144,Match Nul,28,2
144,Match Nul,20,2
144,Match Nul,4,2
144,Match Nul,4,2
144,Match Nul,3,2
144,Match Nul,6,2
144,Match Nul,3,2
144,Match Nul,5,2
144,Match Nul,5,2
144,Match Nul,4,2
144,Match Nul,4,2
144,Match Nul,4,2
144,Match Nul,6,2
144,Match Nul,4,2
144,Match Nul,2,2
144,Match Nul,2,2
144,Match Nul,2,2
144,Match Nul,1,2
144,Match Nul,2,2
144,Match Nul,2,2
144,Match Nul,8,2
144,Match Nul,1,2
144,Match Nul,2,2
144,Match Nul,2,2
144,Match Nul,1,2
144,Match Nul,2,2
144,Match Nul,7,2
144,Match Nul,2,2
144,Match Nul,3,2
144,Match Nul,7,2
144,Match Nul,3,2
144,Match Nul,6,2
144,Match Nul,4,2
144,Match Nul,4,2
144,Match Nul,3,2

# CONFIG: P12_D3_MinMaxStrategie_FreeSpaceHeuristic_VS_AlphaBetaStrategie_VoronoiHeuristic
# Plateau: 12x12, Profondeur: 3
# Stratégies: MinMaxStrategie (FreeSpaceHeuristic) vs AlphaBetaStrategie (VoronoiHeuristic)
# Parties: 50
Nombre d'Equipes = 2
Joueurs Par Equipe = 1
Profondeur IA = 3
Nombre Parties = 50


TailleGrille,EquipeGagnante,TempsMoyen,NbMoyenTours
144,Equipe_2,24,2
144,Match Nul,67,2
144,Match Nul,50,2
144,Match Nul,28,2
144,Equipe_2,78,2
144,Equipe_2,41,2
144,Equipe_2,50,2
144,Match Nul,40,2
144,Equipe_2,46,2
144,Match Nul,73,2
144,Equipe_2,52,2
144,Equipe_2,53,2
144,Equipe_2,55,2
144,Equipe_2,76,2
144,Equipe_2,54,2
144,Match Nul,69,2
144,Match Nul,30,2
144,Equipe_2,50,2
144,Equipe_2,41,2
144,Equipe_2,39,2
144,Equipe_2,31,2
144,Match Nul,37,2
144,Equipe_2,24,2
144,Match Nul,20,2
144,Equipe_2,11,2
144,Equipe_2,10,2
144,Match Nul,9,2
144,Equipe_2,3,2
144,Equipe_2,5,2
144,Match Nul,4,2
144,Equipe_2,3,2
144,Equipe_2,4,2
144,Equipe_2,6,2
144,Equipe_2,1,2
144,Match Nul,3,2
144,Equipe_2,2,2
144,Equipe_2,2,2
144,Equipe_2,1,2
144,Equipe_2,2,2
144,Match Nul,2,2
144,Equipe_2,1,2
144,Match Nul,2,2
144,Equipe_2,1,2
144,Equipe_2,2,2
144,Match Nul,1,2
144,Equipe_2,1,2
144,Equipe_2,2,2
144,Equipe_2,2,2
144,Equipe_2,1,2
144,Match Nul,2,2

# CONFIG: P12_D3_MinMaxStrategie_VoronoiHeuristic_VS_AlphaBetaStrategie_FreeSpaceHeuristic
# Plateau: 12x12, Profondeur: 3
# Stratégies: MinMaxStrategie (VoronoiHeuristic) vs AlphaBetaStrategie (FreeSpaceHeuristic)
# Parties: 50
Nombre d'Equipes = 2
Joueurs Par Equipe = 1
Profondeur IA = 3
Nombre Parties = 50


TailleGrille,EquipeGagnante,TempsMoyen,NbMoyenTours
144,Equipe_1,26,2
144,Equipe_1,31,2
144,Equipe_1,37,2
144,Equipe_1,29,2
144,Equipe_1,38,2
144,Equipe_1,76,2
144,Equipe_1,31,2
144,Equipe_1,66,2
144,Equipe_1,30,2
144,Equipe_1,43,2
144,Equipe_1,109,7
144,Equipe_1,27,2
144,Equipe_1,42,2
144,Equipe_1,20,2
144,Equipe_1,25,2
144,Equipe_1,15,2
144,Equipe_1,22,2
144,Equipe_1,30,2
144,Equipe_1,50,2
144,Equipe_1,22,2
144,Equipe_1,28,2
144,Equipe_1,19,2
144,Equipe_1,29,2
144,Equipe_1,39,2
144,Equipe_1,25,2
144,Equipe_1,27,2
144,Equipe_1,23,2
144,Equipe_1,17,2
144,Equipe_1,13,2
144,Equipe_1,19,2
144,Equipe_1,4,2
144,Equipe_1,5,2
144,Equipe_1,18,2
144,Equipe_1,18,2
144,Equipe_1,4,2
144,Equipe_1,4,2
144,Equipe_1,4,2
144,Equipe_1,1,2
144,Equipe_1,1,2
144,Equipe_1,3,2
144,Equipe_1,1,2
144,Equipe_1,1,2
144,Equipe_1,13,2
144,Equipe_1,1,2
144,Equipe_1,11,2
144,Equipe_1,10,2
144,Equipe_1,10,2
144,Equipe_1,3,3
144,Equipe_1,1,2
144,Equipe_1,1,2

# CONFIG: P12_D3_MinMaxStrategie_VoronoiHeuristic_VS_AlphaBetaStrategie_VoronoiHeuristic
# Plateau: 12x12, Profondeur: 3
# Stratégies: MinMaxStrategie (VoronoiHeuristic) vs AlphaBetaStrategie (VoronoiHeuristic)
# Parties: 50
Nombre d'Equipes = 2
Joueurs Par Equipe = 1
Profondeur IA = 3
Nombre Parties = 50


TailleGrille,EquipeGagnante,TempsMoyen,NbMoyenTours
144,Equipe_1,57,4
144,Equipe_1,51,3
144,Equipe_1,57,5
144,Equipe_1,28,2
144,Equipe_1,25,2
144,Equipe_1,58,3
144,Equipe_1,22,2
144,Equipe_1,54,4
144,Equipe_1,25,2
144,Equipe_1,29,3
144,Equipe_2,27,3
144,Equipe_1,9,2
144,Match Nul,2,3
144,Match Nul,3,5
144,Equipe_1,1,2
144,Equipe_1,0,2
144,Equipe_2,1,2
144,Equipe_1,1,2
144,Equipe_1,5,5
144,Equipe_1,1,2
144,Equipe_1,7,3
144,Equipe_1,1,2
144,Match Nul,2,3
144,Equipe_2,7,5
144,Match Nul,6,6
144,Equipe_1,2,2
144,Equipe_1,3,3
144,Equipe_2,5,6
144,Equipe_1,3,3
144,Equipe_1,3,3
144,Equipe_1,10,8
144,Equipe_1,3,3
144,Match Nul,3,4
144,Equipe_2,4,3
144,Equipe_1,7,2
144,Equipe_1,1,2
144,Match Nul,5,3
144,Equipe_1,4,4
144,Equipe_2,4,3
144,Match Nul,4,4
144,Equipe_1,4,3
144,Equipe_1,1,3
144,Equipe_1,1,2
144,Match Nul,2,3
144,Equipe_1,1,2
144,Equipe_1,2,2
144,Equipe_1,1,2
144,Match Nul,1,3
144,Equipe_1,1,2
144,Equipe_1,1,3

# CONFIG: P12_D3_MinMaxStrategie_FreeSpaceHeuristic_VS_MaxNStrategie_FreeSpaceHeuristic
# Plateau: 12x12, Profondeur: 3
# Stratégies: MinMaxStrategie (FreeSpaceHeuristic) vs MaxNStrategie (FreeSpaceHeuristic)
# Parties: 50
Nombre d'Equipes = 2
Joueurs Par Equipe = 1
Profondeur IA = 3
Nombre Parties = 50


TailleGrille,EquipeGagnante,TempsMoyen,NbMoyenTours
144,Match Nul,153,2
144,Match Nul,154,2
144,Match Nul,154,2
144,Match Nul,150,2
144,Match Nul,147,2
144,Match Nul,143,2
144,Match Nul,152,2
144,Match Nul,146,2
144,Match Nul,14,2
144,Match Nul,37,2
144,Match Nul,13,2
144,Match Nul,14,2
144,Match Nul,18,2
144,Match Nul,26,2
144,Match Nul,15,2
144,Match Nul,26,2
144,Match Nul,9,2
144,Match Nul,15,2
144,Match Nul,6,2
144,Match Nul,14,2
144,Match Nul,13,2
144,Match Nul,14,2
144,Match Nul,26,2
144,Match Nul,14,2
144,Match Nul,41,2
144,Match Nul,20,2
144,Match Nul,25,2
144,Match Nul,11,2
144,Match Nul,29,2
144,Match Nul,18,2
144,Match Nul,36,2
144,Match Nul,25,2
144,Equipe_1,20,1
144,Match Nul,23,2
144,Match Nul,23,2
144,Match Nul,27,2
144,Match Nul,15,2
144,Match Nul,21,2
144,Match Nul,15,2
144,Match Nul,7,2
144,Match Nul,28,2
144,Match Nul,29,2
144,Match Nul,25,2
144,Match Nul,26,2
144,Match Nul,17,2
144,Match Nul,6,2
144,Match Nul,26,2
144,Match Nul,19,2
144,Match Nul,21,2
144,Match Nul,15,2

# CONFIG: P12_D3_MinMaxStrategie_FreeSpaceHeuristic_VS_MaxNStrategie_VoronoiHeuristic
# Plateau: 12x12, Profondeur: 3
# Stratégies: MinMaxStrategie (FreeSpaceHeuristic) vs MaxNStrategie (VoronoiHeuristic)
# Parties: 50
Nombre d'Equipes = 2
Joueurs Par Equipe = 1
Profondeur IA = 3
Nombre Parties = 50


TailleGrille,EquipeGagnante,TempsMoyen,NbMoyenTours
144,Equipe_2,72,2
144,Equipe_2,85,2
144,Match Nul,76,2
144,Match Nul,59,2
144,Equipe_2,83,2
144,Equipe_2,77,2
144,Equipe_2,88,2
144,Equipe_2,86,2
144,Equipe_2,24,2
144,Match Nul,17,2
144,Equipe_2,19,2
144,Equipe_2,14,2
144,Equipe_2,5,2
144,Match Nul,11,2
144,Match Nul,11,2
144,Equipe_2,36,2
144,Equipe_2,23,2
144,Equipe_2,18,2
144,Equipe_2,10,2
144,Equipe_2,23,2
144,Equipe_2,40,2
144,Equipe_2,30,2
144,Equipe_2,13,2
144,Equipe_2,16,2
144,Equipe_2,25,2
144,Equipe_2,25,2
144,Equipe_2,23,2
144,Match Nul,18,2
144,Match Nul,18,2
144,Equipe_2,11,2
144,Equipe_2,21,2
144,Equipe_2,14,2
144,Equipe_2,13,2
144,Equipe_2,20,2
144,Equipe_2,14,2
144,Equipe_2,9,2
144,Match Nul,14,2
144,Equipe_2,12,2
144,Match Nul,8,2
144,Match Nul,14,2
144,Match Nul,17,2
144,Equipe_2,7,2
144,Equipe_2,9,2
144,Match Nul,11,2
144,Match Nul,16,2
144,Equipe_2,11,2
144,Match Nul,6,2
144,Match Nul,12,2
144,Equipe_2,6,2
144,Equipe_2,8,2

# CONFIG: P12_D3_MinMaxStrategie_VoronoiHeuristic_VS_MaxNStrategie_FreeSpaceHeuristic
# Plateau: 12x12, Profondeur: 3
# Stratégies: MinMaxStrategie (VoronoiHeuristic) vs MaxNStrategie (FreeSpaceHeuristic)
# Parties: 50
Nombre d'Equipes = 2
Joueurs Par Equipe = 1
Profondeur IA = 3
Nombre Parties = 50


TailleGrille,EquipeGagnante,TempsMoyen,NbMoyenTours
144,Equipe_1,181,2
144,Equipe_1,180,2
144,Equipe_1,180,2
144,Equipe_1,149,2
144,Equipe_1,129,2
144,Equipe_1,184,2
144,Equipe_1,181,2
144,Equipe_1,185,2
144,Equipe_1,56,2
144,Equipe_1,54,2
144,Equipe_1,13,2
144,Equipe_1,21,2
144,Equipe_1,17,2
144,Equipe_1,9,2
144,Equipe_1,8,2
144,Equipe_1,8,2
144,Equipe_1,14,2
144,Equipe_1,17,2
144,Equipe_1,6,2
144,Equipe_1,19,2
144,Equipe_1,16,2
144,Equipe_1,13,2
144,Equipe_1,15,2
144,Equipe_1,15,2
144,Equipe_1,14,2
144,Equipe_1,11,2
144,Equipe_1,9,2
144,Equipe_1,14,2
144,Equipe_1,16,2
144,Equipe_1,31,2
144,Equipe_1,14,2
144,Equipe_1,9,2
144,Equipe_1,21,2
144,Equipe_1,13,2
144,Equipe_1,29,3
144,Equipe_1,9,2
144,Equipe_1,11,2
