# EXPÉRIENCES DUEL - mar. 24 mars 2026 13:49:45 CET
# Plateau: 12 15, Profondeurs: 3 4
# Stratégies: MinMaxStrategie AlphaBetaStrategie MaxNStrategie ParanoidStrategie
# Heuristiques: FreeSpaceHeuristic VoronoiHeuristic
# Parties par config: 50


# CONFIG: P12_D3_MinMaxStrategie_FreeSpaceHeuristic_VS_AlphaBetaStrategie_FreeSpaceHeuristic
# Plateau: 12x12, Profondeur: 3
# Stratégies: MinMaxStrategie (FreeSpaceHeuristic) vs AlphaBetaStrategie (FreeSpaceHeuristic)
# Parties: 50
Nombre d'Equipes = 2
Joueurs Par Equipe = 1
Profondeur IA = 3
Nombre Parties = 50


TailleGrille,EquipeGagnante,TempsMoyen,NbMoyenTours
144,Match Nul,104,2
144,Match Nul,160,2
144,Equipe_2,81,2
144,Match Nul,84,2
144,Match Nul,108,2
144,Match Nul,74,2
144,Match Nul,70,2
144,Match Nul,50,2
144,Match Nul,38,2
144,Match Nul,41,2
144,Match Nul,86,2
144,Match Nul,52,2
144,Match Nul,85,2
144,Match Nul,71,2
144,Match Nul,66,2
144,Match Nul,34,2
144,Match Nul,56,2
144,Match Nul,44,2
144,Match Nul,48,2
144,Match Nul,41,2
144,Match Nul,52,2
144,Match Nul,46,2
144,Match Nul,46,2
144,Match Nul,27,2
144,Match Nul,38,2
144,Match Nul,36,2
144,Match Nul,25,2
144,Match Nul,20,2
144,Match Nul,13,2
144,Match Nul,8,2
144,Match Nul,5,2
144,Match Nul,9,2
144,Match Nul,6,2
144,Match Nul,7,2
144,Match Nul,5,2
144,Match Nul,5,2
144,Match Nul,5,2
144,Match Nul,5,2
144,Match Nul,5,2
144,Match Nul,2,2
144,Match Nul,3,2
144,Match Nul,2,2
144,Match Nul,6,2
144,Match Nul,3,2
144,Match Nul,6,2
144,Match Nul,6,2
144,Match Nul,4,2
144,Match Nul,4,2
144,Match Nul,2,2
144,Match Nul,3,2

# CONFIG: P12_D3_MinMaxStrategie_FreeSpaceHeuristic_VS_AlphaBetaStrategie_VoronoiHeuristic
# Plateau: 12x12, Profondeur: 3
# Stratégies: MinMaxStrategie (FreeSpaceHeuristic) vs AlphaBetaStrategie (VoronoiHeuristic)
# Parties: 50
Nombre d'Equipes = 2
Joueurs Par Equipe = 1
Profondeur IA = 3
Nombre Parties = 50


TailleGrille,EquipeGagnante,TempsMoyen,NbMoyenTours
144,Equipe_2,155,2
144,Equipe_2,102,2
144,Equipe_2,161,2
144,Equipe_2,150,2
144,Equipe_2,100,2
144,Equipe_2,91,2
144,Equipe_2,69,2
144,Equipe_2,119,2
144,Equipe_2,103,2
144,Equipe_2,72,2
144,Equipe_2,86,2
144,Equipe_2,107,2
144,Equipe_2,68,2
144,Equipe_2,58,2
144,Equipe_2,93,2
144,Equipe_2,64,2
144,Equipe_2,79,2
144,Equipe_2,62,2
144,Equipe_2,44,2
144,Equipe_2,43,2
144,Equipe_2,58,2
144,Equipe_2,62,2
144,Equipe_2,44,2
144,Equipe_2,34,2
144,Equipe_2,57,2
144,Equipe_2,35,2
144,Equipe_2,46,2
144,Match Nul,39,2
144,Equipe_2,24,2
144,Equipe_2,21,2
144,Equipe_2,17,2
144,Equipe_2,16,2
144,Equipe_2,20,2
144,Equipe_2,5,2
144,Equipe_2,3,2
144,Equipe_2,3,2
144,Equipe_2,1,2
144,Equipe_2,2,2
144,Equipe_2,10,2
144,Equipe_2,4,2
144,Equipe_2,2,2
144,Equipe_2,4,2
144,Equipe_2,3,2
144,Equipe_2,5,2
144,Equipe_2,3,2
144,Equipe_2,3,2
144,Equipe_2,2,2
144,Equipe_2,4,2
144,Equipe_2,9,2
144,Equipe_2,3,2

# CONFIG: P12_D3_MinMaxStrategie_VoronoiHeuristic_VS_AlphaBetaStrategie_FreeSpaceHeuristic
# Plateau: 12x12, Profondeur: 3
# Stratégies: MinMaxStrategie (VoronoiHeuristic) vs AlphaBetaStrategie (FreeSpaceHeuristic)
# Parties: 50
Nombre d'Equipes = 2
Joueurs Par Equipe = 1
Profondeur IA = 3
Nombre Parties = 50


TailleGrille,EquipeGagnante,TempsMoyen,NbMoyenTours
144,Equipe_1,93,2
144,Equipe_1,77,2
144,Equipe_1,80,2
144,Equipe_1,44,2
144,Equipe_1,74,2
144,Equipe_1,84,2
144,Equipe_1,131,2
144,Equipe_1,106,2
144,Equipe_1,117,2
144,Equipe_1,35,2
144,Equipe_1,27,2
144,Equipe_1,47,2
144,Equipe_1,62,2
144,Equipe_1,48,1
144,Equipe_1,123,2
144,Equipe_1,66,2
144,Equipe_1,58,2
144,Equipe_1,31,2
144,Equipe_1,62,2
144,Equipe_1,61,2
144,Equipe_1,57,2
144,Equipe_1,39,2
144,Equipe_1,88,2
144,Equipe_1,48,2
144,Equipe_1,47,2
144,Equipe_1,74,2
144,Equipe_1,61,2
144,Equipe_1,60,2
144,Equipe_1,37,2
144,Equipe_1,41,2
144,Equipe_1,49,2
144,Equipe_1,43,2
144,Equipe_1,67,2
144,Equipe_1,61,2
144,Equipe_1,40,2
144,Equipe_1,50,2
144,Equipe_1,44,2
144,Equipe_1,42,1
144,Equipe_1,40,2
144,Equipe_1,31,2
144,Equipe_1,16,2
144,Equipe_1,12,2
144,Equipe_1,3,2
144,Equipe_1,3,2
144,Equipe_1,2,2
144,Equipe_1,5,2
144,Equipe_1,3,2
144,Equipe_1,2,2
144,Equipe_1,2,2
144,Equipe_1,3,2

# CONFIG: P12_D3_MinMaxStrategie_VoronoiHeuristic_VS_AlphaBetaStrategie_VoronoiHeuristic
# Plateau: 12x12, Profondeur: 3
# Stratégies: MinMaxStrategie (VoronoiHeuristic) vs AlphaBetaStrategie (VoronoiHeuristic)
# Parties: 50
Nombre d'Equipes = 2
Joueurs Par Equipe = 1
Profondeur IA = 3
Nombre Parties = 50


TailleGrille,EquipeGagnante,TempsMoyen,NbMoyenTours
144,Match Nul,245,8
144,Match Nul,188,3
144,Equipe_1,232,6
144,Equipe_1,256,11
144,Equipe_2,138,2
144,Equipe_1,244,8
144,Equipe_2,238,7
144,Equipe_1,256,10
144,Equipe_1,94,5
144,Equipe_2,3,2
144,Equipe_1,5,3
144,Match Nul,5,2
144,Equipe_1,21,7
144,Equipe_2,16,6
144,Equipe_1,17,3
144,Equipe_2,17,6
144,Match Nul,13,7
144,Equipe_1,4,2
144,Equipe_1,15,7
144,Equipe_1,33,9
144,Match Nul,43,11
144,Equipe_1,14,2
144,Equipe_1,7,3
144,Equipe_2,2,2
144,Equipe_1,55,10
144,Equipe_1,18,5
144,Equipe_1,23,5
144,Equipe_1,27,6
144,Equipe_2,31,10
144,Match Nul,42,7
144,Match Nul,4,2
144,Equipe_1,20,8
144,Equipe_1,5,2
144,Equipe_1,9,3
144,Equipe_2,22,5
144,Equipe_1,4,2
144,Equipe_1,16,9
144,Equipe_2,12,3
144,Match Nul,44,10
144,Match Nul,38,7
144,Match Nul,17,7
144,Match Nul,46,9
144,Match Nul,33,9
144,Match Nul,3,2
144,Equipe_1,30,9
144,Match Nul,37,9
144,Match Nul,47,9
144,Equipe_2,21,5
144,Equipe_1,9,2
144,Match Nul,18,10

# CONFIG: P12_D3_MinMaxStrategie_FreeSpaceHeuristic_VS_MaxNStrategie_FreeSpaceHeuristic
# Plateau: 12x12, Profondeur: 3
# Stratégies: MinMaxStrategie (FreeSpaceHeuristic) vs MaxNStrategie (FreeSpaceHeuristic)
# Parties: 50
Nombre d'Equipes = 2
Joueurs Par Equipe = 1
Profondeur IA = 3
Nombre Parties = 50


TailleGrille,EquipeGagnante,TempsMoyen,NbMoyenTours
144,Match Nul,195,2
144,Match Nul,295,2
144,Match Nul,287,2
144,Match Nul,164,2
144,Match Nul,181,2
144,Match Nul,204,2
144,Match Nul,295,2
144,Match Nul,277,2
144,Match Nul,121,2
144,Match Nul,115,2
144,Match Nul,114,2
144,Match Nul,100,2
144,Match Nul,32,2
144,Match Nul,18,2
144,Match Nul,21,2
144,Match Nul,33,2
144,Match Nul,14,2
144,Match Nul,25,2
144,Match Nul,34,2
144,Match Nul,30,2
144,Match Nul,25,2
144,Match Nul,30,2
144,Match Nul,20,2
144,Match Nul,20,2
144,Match Nul,23,2
144,Match Nul,15,2
144,Match Nul,18,2
144,Match Nul,17,2
144,Match Nul,25,2
144,Match Nul,16,2
144,Match Nul,22,2
144,Match Nul,6,2
144,Equipe_2,20,2
144,Match Nul,9,2
144,Match Nul,29,2
144,Match Nul,50,2
144,Match Nul,26,2
144,Match Nul,21,2
144,Match Nul,60,2
144,Match Nul,66,2
144,Match Nul,27,2
144,Match Nul,49,2
144,Equipe_1,7,1
144,Match Nul,57,2
144,Match Nul,36,2
144,Match Nul,80,2
144,Match Nul,83,2
144,Match Nul,72,2
144,Match Nul,56,2
144,Match Nul,56,2

# CONFIG: P12_D3_MinMaxStrategie_FreeSpaceHeuristic_VS_MaxNStrategie_VoronoiHeuristic
# Plateau: 12x12, Profondeur: 3
# Stratégies: MinMaxStrategie (FreeSpaceHeuristic) vs MaxNStrategie (VoronoiHeuristic)
# Parties: 50
Nombre d'Equipes = 2
Joueurs Par Equipe = 1
Profondeur IA = 3
Nombre Parties = 50


TailleGrille,EquipeGagnante,TempsMoyen,NbMoyenTours
144,Equipe_2,234,2
144,Equipe_2,356,2
144,Equipe_2,333,2
144,Match Nul,332,2
144,Equipe_2,348,2
144,Equipe_2,222,2
144,Match Nul,332,2
144,Equipe_2,343,2
144,Equipe_2,148,2
144,Equipe_2,138,2
144,Match Nul,79,2
144,Match Nul,79,2
144,Match Nul,74,2
144,Match Nul,74,2
144,Equipe_2,66,2
144,Equipe_2,48,2
144,Equipe_2,46,2
144,Match Nul,62,2
144,Match Nul,26,2
144,Match Nul,20,2
144,Equipe_2,18,2
144,Equipe_2,19,2
144,Equipe_2,14,2
144,Equipe_2,23,2
144,Equipe_2,47,2
144,Equipe_2,112,2
144,Equipe_2,183,2
144,Equipe_2,17,2
144,Match Nul,149,2
144,Match Nul,96,2
144,Equipe_2,81,2
144,Equipe_2,196,2
144,Equipe_2,256,2
144,Equipe_2,186,2
144,Equipe_2,169,2
144,Equipe_2,95,2
144,Equipe_2,163,2
144,Equipe_2,127,2
144,Match Nul,97,2
144,Equipe_2,94,2
144,Equipe_2,84,2
144,Equipe_2,72,2
144,Match Nul,49,2
144,Match Nul,27,2
144,Match Nul,32,2
144,Equipe_2,21,2
144,Equipe_2,34,2
144,Match Nul,24,2
144,Equipe_2,24,2
144,Equipe_2,21,2

# CONFIG: P12_D3_MinMaxStrategie_VoronoiHeuristic_VS_MaxNStrategie_FreeSpaceHeuristic
# Plateau: 12x12, Profondeur: 3
# Stratégies: MinMaxStrategie (VoronoiHeuristic) vs MaxNStrategie (FreeSpaceHeuristic)
# Parties: 50
Nombre d'Equipes = 2
Joueurs Par Equipe = 1
Profondeur IA = 3
Nombre Parties = 50


TailleGrille,EquipeGagnante,TempsMoyen,NbMoyenTours
144,Equipe_1,232,2
144,Equipe_1,234,2
144,Equipe_1,147,2
144,Equipe_1,217,2
144,Match Nul,209,2
144,Equipe_1,173,2
144,Equipe_1,239,2
144,Match Nul,241,2
144,Equipe_1,92,2
144,Equipe_1,109,2
144,Equipe_1,106,2
144,Equipe_1,65,2
144,Equipe_1,88,2
144,Equipe_1,31,1
144,Match Nul,142,3
144,Equipe_1,71,2
144,Equipe_1,73,2
144,Equipe_1,66,2
144,Equipe_1,84,2
144,Equipe_1,80,2
144,Match Nul,66,2
144,Equipe_1,112,2
144,Equipe_1,44,2
144,Match Nul,62,2
144,Equipe_1,43,2
144,Equipe_1,74,2
144,Equipe_1,52,2
144,Equipe_1,74,2
144,Equipe_1,61,2
144,Match Nul,49,2
144,Equipe_1,62,2
144,Equipe_1,50,2
144,Equipe_1,53,2
144,Equipe_1,24,2
144,Equipe_1,21,2
144,Equipe_1,19,2
144,Equipe_1,25,2
144,Equipe_1,27,2
144,Match Nul,23,2
144,Equipe_1,30,2
144,Equipe_1,26,2
