# EXPÉRIENCES DUEL - mer. 25 mars 2026 21:44:23 CET
# Plateau: 12 15, Profondeurs: 3 4
# Stratégies: MinMaxStrategie AlphaBetaStrategie MaxNStrategie ParanoidStrategie
# Heuristiques: FreeSpaceHeuristic VoronoiHeuristic
# Parties par config: 50


# CONFIG: P12_D3_MinMaxStrategie_FreeSpaceHeuristic_VS_AlphaBetaStrategie_FreeSpaceHeuristic
# Plateau: 12x12, Profondeur: 3
# Stratégies: MinMaxStrategie (FreeSpaceHeuristic) vs AlphaBetaStrategie (FreeSpaceHeuristic)
# Parties: 50
Nombre d'Equipes = 2
Joueurs Par Equipe = 1
Profondeur IA = 3
Nombre Parties = 50


TailleGrille,EquipeGagnante,TempsMoyen,NbMoyenTours
144,Match Nul,85,2
144,Match Nul,96,2
144,Match Nul,166,2
144,Match Nul,86,2
144,Match Nul,57,2
144,Match Nul,45,2
144,Match Nul,73,2
144,Match Nul,70,2
144,Match Nul,78,2
144,Match Nul,92,2
144,Match Nul,96,2
144,Match Nul,78,2
144,Match Nul,70,2
144,Match Nul,79,2
144,Match Nul,48,2
144,Match Nul,38,2
144,Match Nul,24,2
144,Match Nul,19,2
144,Match Nul,17,2
144,Match Nul,14,2
144,Equipe_2,5,2
144,Equipe_2,4,2
144,Match Nul,6,2
144,Match Nul,4,2
144,Match Nul,2,2
144,Match Nul,3,2
144,Match Nul,4,2
144,Match Nul,2,2
144,Match Nul,2,2
144,Match Nul,1,2
144,Match Nul,8,2
144,Match Nul,2,2
144,Match Nul,2,2
144,Match Nul,3,2
144,Match Nul,1,2
144,Match Nul,1,2
144,Match Nul,2,2
144,Match Nul,2,2
144,Match Nul,2,2
144,Match Nul,3,2
144,Match Nul,1,2
144,Match Nul,6,2
144,Match Nul,4,2
144,Match Nul,4,2
144,Match Nul,4,2
144,Match Nul,5,2
144,Match Nul,3,2
144,Match Nul,3,2
144,Match Nul,2,2
144,Match Nul,1,2

# CONFIG: P12_D3_MinMaxStrategie_FreeSpaceHeuristic_VS_AlphaBetaStrategie_VoronoiHeuristic
# Plateau: 12x12, Profondeur: 3
# Stratégies: MinMaxStrategie (FreeSpaceHeuristic) vs AlphaBetaStrategie (VoronoiHeuristic)
# Parties: 50
Nombre d'Equipes = 2
Joueurs Par Equipe = 1
Profondeur IA = 3
Nombre Parties = 50


TailleGrille,EquipeGagnante,TempsMoyen,NbMoyenTours
144,Equipe_2,68,2
144,Equipe_2,84,2
144,Equipe_2,82,2
144,Equipe_2,64,2
144,Equipe_2,85,2
144,Equipe_2,127,2
144,Equipe_2,78,2
144,Equipe_2,83,2
144,Equipe_2,81,2
144,Equipe_2,67,2
144,Equipe_2,55,2
144,Equipe_2,145,2
144,Equipe_2,64,2
144,Equipe_2,95,2
144,Equipe_2,140,2
144,Equipe_2,59,2
144,Equipe_2,56,2
144,Equipe_2,77,2
144,Equipe_2,65,2
144,Equipe_2,78,2
144,Equipe_2,46,2
144,Equipe_2,41,2
144,Equipe_1,36,1
144,Equipe_2,16,2
144,Equipe_2,15,2
144,Equipe_2,2,2
144,Equipe_2,3,2
144,Equipe_2,2,2
144,Equipe_2,5,2
144,Equipe_2,2,2
144,Equipe_2,2,2
144,Equipe_2,2,2
144,Equipe_2,5,2
144,Equipe_2,11,2
144,Match Nul,1,2
144,Equipe_2,1,2
144,Equipe_2,2,2
144,Equipe_2,1,2
144,Equipe_2,5,2
144,Equipe_2,3,2
144,Equipe_2,3,2
144,Equipe_2,2,2
144,Equipe_2,8,2
144,Equipe_2,2,2
144,Equipe_2,6,2
144,Equipe_2,7,2
144,Equipe_2,6,2
144,Equipe_2,5,2
144,Equipe_2,2,2
144,Equipe_2,4,2

# CONFIG: P12_D3_MinMaxStrategie_VoronoiHeuristic_VS_AlphaBetaStrategie_FreeSpaceHeuristic
# Plateau: 12x12, Profondeur: 3
# Stratégies: MinMaxStrategie (VoronoiHeuristic) vs AlphaBetaStrategie (FreeSpaceHeuristic)
# Parties: 50
Nombre d'Equipes = 2
Joueurs Par Equipe = 1
Profondeur IA = 3
Nombre Parties = 50


TailleGrille,EquipeGagnante,TempsMoyen,NbMoyenTours
144,Equipe_1,109,2
144,Equipe_1,88,2
144,Equipe_1,116,2
144,Equipe_1,66,2
144,Equipe_1,62,2
144,Equipe_1,122,2
144,Equipe_1,136,2
144,Equipe_1,112,2
144,Equipe_1,74,2
144,Equipe_1,123,2
144,Equipe_1,89,2
144,Equipe_1,132,2
144,Equipe_1,37,2
144,Equipe_1,124,2
144,Equipe_1,39,2
144,Equipe_1,92,2
144,Equipe_1,101,2
144,Equipe_1,48,2
144,Equipe_1,74,2
144,Equipe_1,51,2
144,Equipe_1,46,2
144,Equipe_1,45,2
144,Equipe_1,16,2
144,Equipe_1,16,2
144,Equipe_1,9,2
144,Equipe_1,7,2
144,Equipe_1,6,2
144,Equipe_1,4,2
144,Equipe_1,3,2
144,Equipe_1,3,2
144,Equipe_1,1,2
144,Equipe_1,1,2
144,Equipe_1,2,2
144,Equipe_1,2,2
144,Equipe_1,2,2
144,Equipe_1,1,2
144,Equipe_1,2,2
144,Match Nul,3,2
144,Equipe_1,1,2
144,Equipe_1,4,2
144,Equipe_1,2,2
144,Equipe_1,3,2
144,Equipe_1,2,2
144,Equipe_1,2,2
144,Equipe_1,1,2
144,Equipe_1,2,2
144,Equipe_1,2,2
144,Equipe_1,3,2
144,Equipe_1,2,2
144,Equipe_1,3,2

# CONFIG: P12_D3_MinMaxStrategie_VoronoiHeuristic_VS_AlphaBetaStrategie_VoronoiHeuristic
# Plateau: 12x12, Profondeur: 3
# Stratégies: MinMaxStrategie (VoronoiHeuristic) vs AlphaBetaStrategie (VoronoiHeuristic)
# Parties: 50
Nombre d'Equipes = 2
Joueurs Par Equipe = 1
Profondeur IA = 3
Nombre Parties = 50


TailleGrille,EquipeGagnante,TempsMoyen,NbMoyenTours
144,Equipe_1,153,1
144,Equipe_2,268,4
144,Equipe_1,29,1
144,Match Nul,277,7
144,Equipe_1,271,4
144,Equipe_1,271,6
144,Match Nul,278,8
144,Equipe_1,277,9
144,Equipe_2,239,4
144,Equipe_1,101,1
144,Equipe_1,29,7
144,Match Nul,14,8
144,Match Nul,4,3
144,Equipe_1,11,5
144,Equipe_1,18,5
144,Equipe_2,17,11
144,Equipe_1,19,8
144,Equipe_1,23,9
144,Match Nul,33,11
144,Equipe_2,9,5
144,Equipe_2,6,3
144,Equipe_1,7,5
144,Equipe_1,11,7
144,Equipe_1,2,2
144,Equipe_1,2,3
144,Match Nul,2,2
144,Match Nul,1,2
144,Equipe_1,12,8
144,Equipe_1,1,1
144,Equipe_1,0,1
144,Equipe_1,1,2
144,Equipe_1,11,7
144,Equipe_1,11,7
144,Equipe_1,1,1
144,Match Nul,10,7
144,Equipe_1,3,2
144,Equipe_1,2,1
144,Equipe_1,18,9
144,Equipe_1,1,1
144,Equipe_1,13,7
144,Equipe_1,2,2
144,Equipe_1,5,4
144,Equipe_1,1,1
144,Equipe_2,10,8
144,Match Nul,1,2
144,Equipe_2,10,5
144,Equipe_1,3,2
144,Equipe_1,6,5
144,Equipe_2,5,4
144,Equipe_1,5,5

# CONFIG: P12_D3_MinMaxStrategie_FreeSpaceHeuristic_VS_MaxNStrategie_FreeSpaceHeuristic
# Plateau: 12x12, Profondeur: 3
# Stratégies: MinMaxStrategie (FreeSpaceHeuristic) vs MaxNStrategie (FreeSpaceHeuristic)
# Parties: 50
Nombre d'Equipes = 2
Joueurs Par Equipe = 1
Profondeur IA = 3
Nombre Parties = 50


TailleGrille,EquipeGagnante,TempsMoyen,NbMoyenTours
144,Equipe_2,171,2
144,Match Nul,165,2
144,Match Nul,170,2
144,Match Nul,155,2
144,Match Nul,166,2
144,Equipe_2,168,2
144,Match Nul,179,2
144,Match Nul,169,2
144,Match Nul,29,2
144,Match Nul,90,2
144,Match Nul,25,2
144,Match Nul,10,2
144,Match Nul,23,2
144,Match Nul,83,2
144,Match Nul,23,2
144,Match Nul,15,2
144,Match Nul,12,2
144,Match Nul,64,2
144,Match Nul,69,2
144,Match Nul,61,2
144,Match Nul,61,2
144,Match Nul,63,2
144,Match Nul,60,2
144,Match Nul,10,2
144,Match Nul,16,2
144,Match Nul,11,2
144,Match Nul,23,2
144,Match Nul,31,2
144,Match Nul,30,2
144,Match Nul,11,2
144,Match Nul,12,2
144,Match Nul,21,2
144,Match Nul,24,2
144,Match Nul,12,2
144,Match Nul,12,2
144,Match Nul,13,2
144,Match Nul,18,2
144,Match Nul,9,2
144,Match Nul,10,2
144,Match Nul,15,2
144,Match Nul,16,2
144,Match Nul,12,2
144,Match Nul,16,2
144,Match Nul,16,2
144,Match Nul,6,2
144,Match Nul,10,2
144,Match Nul,14,2
144,Match Nul,11,2
144,Match Nul,12,2
144,Match Nul,6,2

# CONFIG: P12_D3_MinMaxStrategie_FreeSpaceHeuristic_VS_MaxNStrategie_VoronoiHeuristic
# Plateau: 12x12, Profondeur: 3
# Stratégies: MinMaxStrategie (FreeSpaceHeuristic) vs MaxNStrategie (VoronoiHeuristic)
# Parties: 50
Nombre d'Equipes = 2
Joueurs Par Equipe = 1
Profondeur IA = 3
Nombre Parties = 50


