# EXPÉRIENCES DUEL - jeu. 26 mars 2026 10:10:31 CET
# Plateau: 10 20 15, Profondeurs: 3 6 9
# Stratégies: MinMaxStrategie AlphaBetaStrategie MaxNStrategie ParanoidStrategie
# Heuristiques: FreeSpaceHeuristic VoronoiHeuristic TreeOfChambers
# Parties par config: 50


# CONFIG: P10_D3_MinMaxStrategie_FreeSpaceHeuristic_VS_AlphaBetaStrategie_FreeSpaceHeuristic
# Plateau: 10x10, Profondeur: 3
# Stratégies: MinMaxStrategie (FreeSpaceHeuristic) vs AlphaBetaStrategie (FreeSpaceHeuristic)
# Parties: 50
Nombre d'Equipes = 2
Joueurs Par Equipe = 1
Profondeur IA = 3
Nombre Parties = 50


TailleGrille,EquipeGagnante,TempsMoyen,NbMoyenTours
100,Match Nul,70,2
100,Match Nul,42,2
100,Match Nul,30,2
100,Match Nul,69,2
100,Equipe_2,33,2
100,Match Nul,26,2
100,Match Nul,37,2
100,Match Nul,77,2
100,Match Nul,45,2
100,Match Nul,46,2
100,Match Nul,45,2
100,Match Nul,46,2
100,Match Nul,27,2
100,Match Nul,24,2
100,Match Nul,29,2
100,Match Nul,55,2
100,Match Nul,37,2
100,Match Nul,36,2
100,Match Nul,22,2
100,Match Nul,33,2
100,Match Nul,54,2
100,Match Nul,37,2
100,Equipe_1,16,1
100,Match Nul,34,2
100,Match Nul,24,2
100,Match Nul,22,2
100,Match Nul,27,2
100,Match Nul,25,2
100,Match Nul,18,2
100,Match Nul,20,2
100,Match Nul,3,2
100,Match Nul,7,2
100,Match Nul,6,2
100,Match Nul,5,2
100,Match Nul,5,2
100,Match Nul,4,2
100,Match Nul,4,2
100,Match Nul,3,2
100,Match Nul,2,2
100,Match Nul,2,2
100,Match Nul,5,2
100,Match Nul,2,2
100,Match Nul,3,2
100,Match Nul,3,2
100,Match Nul,3,2
100,Match Nul,2,2
100,Match Nul,2,2
100,Match Nul,2,2
100,Match Nul,3,2
100,Match Nul,1,2

# CONFIG: P10_D3_MinMaxStrategie_FreeSpaceHeuristic_VS_AlphaBetaStrategie_VoronoiHeuristic
# Plateau: 10x10, Profondeur: 3
# Stratégies: MinMaxStrategie (FreeSpaceHeuristic) vs AlphaBetaStrategie (VoronoiHeuristic)
# Parties: 50
Nombre d'Equipes = 2
Joueurs Par Equipe = 1
Profondeur IA = 3
Nombre Parties = 50


TailleGrille,EquipeGagnante,TempsMoyen,NbMoyenTours
100,Equipe_2,71,2
100,Equipe_2,36,2
100,Equipe_2,62,2
100,Equipe_2,54,2
100,Equipe_2,71,2
100,Equipe_2,61,2
100,Equipe_2,120,2
100,Equipe_2,63,2
100,Equipe_2,53,2
100,Equipe_2,65,2
100,Equipe_2,59,2
100,Equipe_2,36,2
100,Equipe_2,60,2
100,Equipe_2,69,2
100,Equipe_2,79,2
100,Equipe_2,59,2
100,Equipe_2,27,2
100,Equipe_2,43,2
100,Equipe_2,70,2
100,Equipe_2,38,2
100,Equipe_2,68,2
100,Equipe_2,54,2
100,Equipe_2,46,2
100,Equipe_2,55,2
100,Equipe_2,75,2
100,Equipe_2,60,2
100,Equipe_2,42,2
100,Equipe_2,38,2
100,Equipe_2,41,2
100,Equipe_2,31,2
100,Equipe_2,40,2
100,Equipe_2,29,2
100,Equipe_2,64,2
100,Equipe_2,28,2
100,Equipe_2,58,2
100,Equipe_2,22,2
100,Equipe_2,60,2
100,Equipe_2,52,2
100,Equipe_2,29,2
100,Equipe_2,37,2
100,Equipe_2,35,2
100,Equipe_2,20,2
100,Equipe_2,32,2
100,Equipe_2,36,2
100,Equipe_2,24,2
100,Equipe_2,32,2
100,Equipe_2,29,2
100,Equipe_2,9,2
100,Equipe_2,22,2
100,Equipe_2,22,2

# CONFIG: P10_D3_MinMaxStrategie_FreeSpaceHeuristic_VS_AlphaBetaStrategie_TreeOfChambers
# Plateau: 10x10, Profondeur: 3
# Stratégies: MinMaxStrategie (FreeSpaceHeuristic) vs AlphaBetaStrategie (TreeOfChambers)
# Parties: 50
Nombre d'Equipes = 2
Joueurs Par Equipe = 1
Profondeur IA = 3
Nombre Parties = 50


TailleGrille,EquipeGagnante,TempsMoyen,NbMoyenTours
100,Equipe_1,64,1
100,Match Nul,122,2
100,Match Nul,105,2
100,Match Nul,69,2
100,Equipe_2,89,2
100,Match Nul,121,2
100,Match Nul,100,2
100,Match Nul,104,2
100,Match Nul,78,2
100,Match Nul,42,2
100,Match Nul,39,2
100,Match Nul,32,2
100,Match Nul,52,2
100,Match Nul,67,2
100,Match Nul,80,2
100,Match Nul,27,2
100,Match Nul,32,2
100,Match Nul,14,2
100,Match Nul,33,2
100,Match Nul,43,2
100,Match Nul,42,2
100,Match Nul,29,2
100,Match Nul,32,2
100,Match Nul,39,2
100,Match Nul,41,2
100,Match Nul,25,2
100,Match Nul,20,2
100,Match Nul,28,2
100,Match Nul,23,2
100,Match Nul,27,2
100,Match Nul,13,2
100,Match Nul,18,2
100,Match Nul,10,2
100,Equipe_2,3,2
100,Match Nul,4,2
100,Match Nul,5,2
100,Equipe_2,5,2
100,Match Nul,5,2
100,Match Nul,4,2
100,Match Nul,5,2
100,Match Nul,5,2
100,Match Nul,2,2
100,Match Nul,1,2
100,Match Nul,2,2
100,Match Nul,3,2
100,Match Nul,2,2
100,Equipe_2,4,2
100,Match Nul,2,2
100,Match Nul,3,2
100,Match Nul,2,2

# CONFIG: P10_D3_MinMaxStrategie_VoronoiHeuristic_VS_AlphaBetaStrategie_FreeSpaceHeuristic
# Plateau: 10x10, Profondeur: 3
# Stratégies: MinMaxStrategie (VoronoiHeuristic) vs AlphaBetaStrategie (FreeSpaceHeuristic)
# Parties: 50
Nombre d'Equipes = 2
Joueurs Par Equipe = 1
Profondeur IA = 3
Nombre Parties = 50


TailleGrille,EquipeGagnante,TempsMoyen,NbMoyenTours
100,Equipe_1,63,2
100,Equipe_1,51,2
100,Equipe_1,53,2
100,Equipe_1,67,2
100,Equipe_1,61,2
100,Equipe_1,27,2
100,Equipe_1,64,2
100,Equipe_1,54,2
100,Equipe_1,28,2
100,Equipe_1,78,2
100,Equipe_1,42,2
100,Equipe_1,41,2
100,Equipe_1,22,2
100,Equipe_1,79,2
100,Match Nul,25,2
100,Equipe_1,40,2
100,Equipe_1,35,2
100,Equipe_1,20,2
100,Equipe_1,34,2
100,Equipe_1,54,2
100,Equipe_1,32,2
100,Equipe_1,90,3
100,Match Nul,33,2
100,Equipe_1,57,2
100,Equipe_1,47,2
100,Equipe_1,48,2
100,Equipe_1,32,2
100,Match Nul,24,2
100,Equipe_1,48,2
100,Match Nul,25,2
100,Equipe_1,54,2
100,Equipe_1,34,2
100,Equipe_1,51,2
100,Equipe_1,20,2
100,Equipe_1,59,2
100,Equipe_1,51,2
100,Equipe_1,35,2
