# EXPÉRIENCES DUEL - jeu. 26 mars 2026 12:32:11 CET
# Plateau: 20 30 50, Profondeurs: 3 6 9
# Stratégies: AlphaBetaStrategie MaxNStrategie ParanoidStrategie SOSStrategie
# Heuristiques: FreeSpaceHeuristic VoronoiHeuristic TreeOfChambersHeuristic
# Parties par config: 50


# CONFIG: P20_D3_AlphaBetaStrategie_FreeSpaceHeuristic_VS_MaxNStrategie_FreeSpaceHeuristic
# Plateau: 20x20, Profondeur: 3
# Stratégies: AlphaBetaStrategie (FreeSpaceHeuristic) vs MaxNStrategie (FreeSpaceHeuristic)
# Parties: 50
Nombre d'Equipes = 4
Joueurs Par Equipe = 2
Profondeur IA = 3
Nombre Parties = 50


TailleGrille,EquipeGagnante,TempsMoyen,NbMoyenTours
400,Match Nul,809,3
400,Match Nul,581,2
400,Match Nul,778,3
400,Match Nul,733,2
400,Match Nul,648,2
400,Match Nul,620,2
400,Match Nul,627,2
400,Match Nul,677,2
400,Match Nul,357,2
400,Match Nul,345,2
400,Equipe_4,413,3
400,Match Nul,298,2
400,Match Nul,516,2
400,Match Nul,307,2
400,Equipe_3,267,2
400,Equipe_4,296,2
400,Equipe_2,293,2
400,Match Nul,366,2
400,Equipe_4,375,2
400,Equipe_4,376,2
400,Match Nul,452,2
400,Equipe_2,380,2
400,Match Nul,364,2
400,Equipe_4,354,2
400,Match Nul,415,2
400,Match Nul,376,2
400,Match Nul,417,3
400,Match Nul,338,2
400,Match Nul,363,2
400,Match Nul,332,2
400,Match Nul,371,2
400,Equipe_2,388,2
400,Match Nul,370,2
400,Equipe_2,309,2
400,Match Nul,395,3
400,Equipe_4,337,2
400,Match Nul,418,3
400,Match Nul,342,2
400,Equipe_4,297,2
400,Match Nul,284,2
400,Equipe_2,283,2
400,Match Nul,312,2
400,Equipe_2,259,2
400,Equipe_2,263,2
400,Equipe_4,290,2
400,Equipe_4,285,2
400,Match Nul,252,2
400,Equipe_2,246,2
400,Match Nul,203,2
400,Match Nul,152,2

# CONFIG: P20_D3_AlphaBetaStrategie_FreeSpaceHeuristic_VS_MaxNStrategie_VoronoiHeuristic
# Plateau: 20x20, Profondeur: 3
# Stratégies: AlphaBetaStrategie (FreeSpaceHeuristic) vs MaxNStrategie (VoronoiHeuristic)
# Parties: 50
Nombre d'Equipes = 4
Joueurs Par Equipe = 2
Profondeur IA = 3
Nombre Parties = 50


TailleGrille,EquipeGagnante,TempsMoyen,NbMoyenTours
400,Equipe_4,1551,4
400,Equipe_2,1854,3
400,Equipe_4,1440,2
400,Equipe_4,1568,3
400,Match Nul,2165,5
400,Equipe_2,1495,2
400,Equipe_2,1512,3
400,Equipe_4,2200,8
400,Equipe_2,639,3
400,Match Nul,1127,6
400,Equipe_2,814,5
400,Equipe_2,593,2
400,Equipe_2,964,5
400,Equipe_2,396,3
400,Equipe_2,525,4
400,Equipe_2,406,3
400,Match Nul,582,5
400,Equipe_4,438,3
400,Equipe_2,1223,8
400,Equipe_2,621,3
400,Equipe_4,319,3
400,Equipe_4,702,5
400,Equipe_4,229,2
400,Equipe_4,426,3
400,Equipe_2,776,6
400,Equipe_2,748,5
400,Match Nul,519,4
400,Equipe_4,399,4
400,Equipe_4,401,3
400,Equipe_2,428,4
400,Match Nul,899,8
400,Equipe_2,460,4
400,Equipe_4,492,4
400,Equipe_2,611,6
400,Match Nul,848,7
