# EXPÉRIENCES DUEL - jeu. 26 mars 2026 19:29:12 CET
# Plateau: 12 15, Profondeurs: 3 4
# Stratégies: MinMaxStrategie AlphaBetaStrategie MaxNStrategie ParanoidStrategie
# Heuristiques: FreeSpaceHeuristic VoronoiHeuristic
# Parties par config: 50


# CONFIG: P12_D3_MinMaxStrategie_FreeSpaceHeuristic_VS_AlphaBetaStrategie_FreeSpaceHeuristic
# Plateau: 12x12, Profondeur: 3
# Stratégies: MinMaxStrategie (FreeSpaceHeuristic) vs AlphaBetaStrategie (FreeSpaceHeuristic)
# Parties: 50
Nombre d'Equipes = 2
Joueurs Par Equipe = 1
Profondeur IA = 3
Nombre Parties = 50


TailleGrille,EquipeGagnante,TempsMoyen,NbMoyenTours
144,Match Nul,74,2
144,Match Nul,77,2
144,Match Nul,64,2
144,Match Nul,75,2
144,Equipe_2,65,2
144,Match Nul,61,2
144,Match Nul,51,2
144,Match Nul,53,2
144,Match Nul,56,2
144,Match Nul,48,2
144,Match Nul,44,2
144,Match Nul,52,2
144,Equipe_2,60,2
144,Match Nul,49,2
144,Match Nul,43,2
144,Match Nul,42,2
144,Match Nul,36,2
144,Match Nul,29,2
144,Match Nul,17,2
144,Match Nul,44,2
144,Match Nul,25,2
144,Match Nul,22,2
144,Match Nul,19,2
144,Match Nul,25,2
144,Match Nul,20,2
144,Match Nul,21,2
144,Match Nul,15,2
144,Match Nul,15,2
144,Match Nul,32,2
144,Match Nul,14,2
144,Match Nul,12,2
144,Match Nul,11,2
144,Match Nul,7,2
144,Match Nul,9,2
144,Match Nul,10,2
144,Match Nul,19,2
144,Match Nul,16,2
144,Match Nul,10,2
144,Match Nul,12,2
144,Match Nul,19,2
144,Match Nul,14,2
144,Match Nul,12,2
144,Match Nul,9,2
144,Match Nul,6,2
144,Match Nul,11,2
144,Match Nul,4,2
144,Match Nul,3,2
144,Match Nul,3,2
144,Equipe_2,2,2
144,Equipe_2,2,2

