# EXPÉRIENCES DUEL - jeu. 26 mars 2026 19:30:13 CET
# Plateau: 10 15 20, Profondeurs: 3 6 9
# Stratégies: MinMaxStrategie AlphaBetaStrategie MaxNStrategie ParanoidStrategie SOSStrategie
# Heuristiques: FreeSpaceHeuristic VoronoiHeuristic TreeOfChambers
# Parties par config: 50


# CONFIG: P10_D3_MinMaxStrategie_FreeSpaceHeuristic_VS_AlphaBetaStrategie_FreeSpaceHeuristic
# Plateau: 10x10, Profondeur: 3
# Stratégies: MinMaxStrategie (FreeSpaceHeuristic) vs AlphaBetaStrategie (FreeSpaceHeuristic)
# Parties: 50
Nombre d'Equipes = 2
Joueurs Par Equipe = 1
Profondeur IA = 3
Nombre Parties = 50


TailleGrille,EquipeGagnante,TempsMoyen,NbMoyenTours
100,Match Nul,49,2
100,Match Nul,80,2
100,Match Nul,59,2
100,Match Nul,92,2
100,Match Nul,79,2
100,Match Nul,71,2
100,Match Nul,120,2
100,Match Nul,61,2
100,Match Nul,42,2
100,Match Nul,49,2
100,Match Nul,61,2
100,Match Nul,70,2
100,Equipe_2,62,2
100,Match Nul,64,2
100,Match Nul,60,2
100,Match Nul,32,2
100,Match Nul,65,2
100,Match Nul,43,2
100,Match Nul,33,2
100,Match Nul,46,2
100,Match Nul,53,2
100,Match Nul,33,2
100,Match Nul,60,2
100,Match Nul,30,2
100,Match Nul,31,2
100,Match Nul,39,2
100,Match Nul,29,2
100,Match Nul,25,2
100,Match Nul,37,2
100,Match Nul,19,2
100,Match Nul,48,2
100,Match Nul,22,2
100,Match Nul,27,2
100,Match Nul,21,2
100,Match Nul,31,2
100,Match Nul,27,2
100,Match Nul,24,2
100,Match Nul,21,2
100,Match Nul,15,2
100,Match Nul,17,2
100,Match Nul,11,2
100,Match Nul,6,2
100,Match Nul,7,2
100,Equipe_2,2,2
100,Match Nul,2,2
100,Match Nul,2,2
100,Match Nul,2,2
100,Match Nul,2,2
100,Match Nul,2,2
100,Match Nul,2,2

# CONFIG: P10_D3_MinMaxStrategie_FreeSpaceHeuristic_VS_AlphaBetaStrategie_VoronoiHeuristic
# Plateau: 10x10, Profondeur: 3
# Stratégies: MinMaxStrategie (FreeSpaceHeuristic) vs AlphaBetaStrategie (VoronoiHeuristic)
# Parties: 50
Nombre d'Equipes = 2
Joueurs Par Equipe = 1
Profondeur IA = 3
Nombre Parties = 50


TailleGrille,EquipeGagnante,TempsMoyen,NbMoyenTours
100,Equipe_2,53,2
100,Equipe_2,43,2
100,Equipe_2,51,2
100,Equipe_2,36,2
100,Equipe_2,34,2
100,Equipe_2,34,2
100,Equipe_2,27,2
100,Equipe_2,57,2
100,Equipe_2,27,2
100,Equipe_2,30,2
100,Equipe_2,41,2
100,Equipe_2,28,2
100,Equipe_2,42,2
100,Equipe_2,12,2
100,Equipe_2,28,2
100,Equipe_2,54,2
100,Equipe_2,81,2
100,Equipe_2,27,2
100,Equipe_2,26,2
100,Equipe_2,50,2
100,Equipe_2,26,2
100,Equipe_2,54,2
100,Equipe_2,46,2
100,Equipe_2,37,2
100,Equipe_2,44,2
100,Equipe_2,35,2
100,Equipe_2,26,2
100,Equipe_2,42,2
100,Equipe_2,45,2
100,Equipe_2,19,2
100,Equipe_2,108,2
100,Equipe_1,21,1
100,Equipe_1,18,1
100,Equipe_2,18,2
100,Equipe_2,67,2
100,Equipe_2,44,2
100,Equipe_2,45,2
100,Equipe_2,37,2
100,Equipe_2,39,2
100,Equipe_2,75,2
100,Equipe_2,41,2
100,Equipe_2,35,2
100,Equipe_2,44,2
100,Equipe_2,49,2
100,Equipe_2,39,2
100,Match Nul,24,2
100,Equipe_2,34,2
100,Equipe_2,28,2
100,Equipe_2,32,2
100,Equipe_2,25,2

# CONFIG: P10_D3_MinMaxStrategie_FreeSpaceHeuristic_VS_AlphaBetaStrategie_TreeOfChambers
# Plateau: 10x10, Profondeur: 3
# Stratégies: MinMaxStrategie (FreeSpaceHeuristic) vs AlphaBetaStrategie (TreeOfChambers)
# Parties: 50
Nombre d'Equipes = 2
Joueurs Par Equipe = 1
Profondeur IA = 3
Nombre Parties = 50


TailleGrille,EquipeGagnante,TempsMoyen,NbMoyenTours
100,Match Nul,38,2
100,Match Nul,36,2
100,Match Nul,37,2
100,Match Nul,46,2
100,Match Nul,43,2
100,Match Nul,33,2
100,Match Nul,54,2
100,Match Nul,42,2
100,Match Nul,39,2
100,Match Nul,45,2
100,Match Nul,32,2
100,Match Nul,51,2
100,Match Nul,24,2
100,Match Nul,31,2
100,Match Nul,28,2
100,Match Nul,28,2
100,Match Nul,26,2
100,Match Nul,26,2
100,Match Nul,13,2
100,Match Nul,50,2
100,Match Nul,34,2
100,Match Nul,21,2
100,Match Nul,29,2
100,Match Nul,25,2
100,Match Nul,35,2
100,Match Nul,34,2
100,Match Nul,31,2
100,Match Nul,41,2
100,Match Nul,47,2
100,Match Nul,27,2
100,Match Nul,21,2
100,Match Nul,27,2
100,Match Nul,36,2
100,Match Nul,24,2
100,Match Nul,25,2
100,Match Nul,28,2
100,Match Nul,25,2
100,Match Nul,22,2
100,Match Nul,11,2
100,Match Nul,10,2
100,Match Nul,7,2
100,Match Nul,7,2
100,Match Nul,2,2
100,Equipe_2,1,2
100,Match Nul,2,2
100,Match Nul,2,2
100,Match Nul,2,2
100,Match Nul,3,2
100,Match Nul,2,2
100,Match Nul,2,2

# CONFIG: P10_D3_MinMaxStrategie_VoronoiHeuristic_VS_AlphaBetaStrategie_FreeSpaceHeuristic
# Plateau: 10x10, Profondeur: 3
# Stratégies: MinMaxStrategie (VoronoiHeuristic) vs AlphaBetaStrategie (FreeSpaceHeuristic)
# Parties: 50
Nombre d'Equipes = 2
Joueurs Par Equipe = 1
Profondeur IA = 3
Nombre Parties = 50


TailleGrille,EquipeGagnante,TempsMoyen,NbMoyenTours
100,Equipe_1,55,2
100,Equipe_1,63,2
100,Equipe_1,61,2
100,Equipe_1,47,2
100,Equipe_1,79,2
100,Equipe_1,67,2
100,Match Nul,51,2
100,Equipe_1,78,2
100,Equipe_1,50,2
100,Equipe_1,99,2
100,Equipe_1,29,2
100,Equipe_1,45,2
100,Equipe_1,39,2
100,Equipe_1,50,2
100,Equipe_1,34,2
100,Match Nul,29,2
100,Equipe_1,32,2
100,Equipe_1,50,2
100,Equipe_1,38,2
100,Equipe_1,50,2
100,Equipe_1,49,2
100,Equipe_1,59,2
100,Equipe_1,58,2
100,Equipe_1,54,2
100,Equipe_1,57,2
100,Equipe_1,49,2
100,Equipe_1,65,2
100,Equipe_1,43,2
100,Equipe_1,56,2
100,Equipe_1,49,2
100,Equipe_1,52,2
100,Equipe_1,39,2
100,Equipe_1,48,2
100,Equipe_1,56,2
100,Equipe_1,50,2
100,Equipe_1,51,2
100,Equipe_1,44,2
100,Equipe_1,79,2
100,Match Nul,51,2
100,Equipe_1,57,2
