# EXPÉRIENCES DUEL - ven. 27 mars 2026 11:38:04 CET
# Plateau: 10, Profondeurs: 3 6
# Stratégies: MinMaxStrategie AlphaBetaStrategie
# Heuristiques: FreeSpaceHeuristic VoronoiHeuristic
# Parties par config: 50


# CONFIG: P10_D3_MinMaxStrategie_FreeSpaceHeuristic_VS_AlphaBetaStrategie_FreeSpaceHeuristic
# Plateau: 10x10, Profondeur: 3
# Stratégies: MinMaxStrategie (FreeSpaceHeuristic) vs AlphaBetaStrategie (FreeSpaceHeuristic)
# Parties: 50
Nombre d'Equipes = 2
Joueurs Par Equipe = 1
Profondeur IA = 3
Nombre Parties = 50


TailleGrille,EquipeGagnante,TempsMs,NbTours
100,Equipe_2,58,2
100,Match Nul,38,2
100,Match Nul,54,2
100,Equipe_2,84,2
100,Match Nul,57,2
100,Match Nul,47,2
100,Match Nul,87,2
100,Match Nul,48,2
100,Match Nul,47,2
100,Match Nul,41,2
100,Match Nul,37,2
100,Match Nul,55,2
100,Match Nul,39,2
100,Match Nul,101,2
100,Match Nul,36,2
100,Match Nul,55,2
100,Match Nul,68,2
100,Match Nul,34,2
100,Match Nul,50,2
100,Match Nul,40,2
100,Match Nul,73,2
100,Match Nul,57,2
100,Match Nul,52,2
100,Match Nul,39,2
100,Match Nul,41,2
100,Match Nul,40,2
100,Match Nul,27,2
100,Match Nul,23,2
100,Match Nul,10,2
100,Match Nul,11,2
100,Match Nul,6,2
100,Match Nul,4,2
100,Match Nul,5,2
100,Match Nul,5,2
100,Match Nul,5,2
100,Match Nul,4,2
100,Match Nul,4,2
100,Match Nul,4,2
100,Match Nul,2,2
100,Match Nul,1,2
100,Match Nul,1,2
100,Match Nul,1,2
100,Match Nul,1,2
100,Match Nul,1,2
100,Match Nul,2,2
100,Equipe_1,1,1
100,Match Nul,1,2
100,Match Nul,2,2
100,Match Nul,1,2
100,Match Nul,1,2

# CONFIG: P10_D3_MinMaxStrategie_FreeSpaceHeuristic_VS_AlphaBetaStrategie_VoronoiHeuristic
# Plateau: 10x10, Profondeur: 3
# Stratégies: MinMaxStrategie (FreeSpaceHeuristic) vs AlphaBetaStrategie (VoronoiHeuristic)
# Parties: 50
Nombre d'Equipes = 2
Joueurs Par Equipe = 1
Profondeur IA = 3
Nombre Parties = 50


TailleGrille,EquipeGagnante,TempsMs,NbTours
100,Equipe_2,49,2
100,Equipe_2,25,2
100,Equipe_2,101,2
100,Equipe_1,19,1
100,Equipe_1,46,1
100,Equipe_2,93,2
100,Equipe_2,51,2
100,Equipe_2,65,2
100,Equipe_2,43,2
100,Equipe_2,29,2
100,Equipe_2,56,2
100,Equipe_2,104,2
100,Equipe_2,48,2
100,Equipe_2,49,2
100,Equipe_2,40,2
100,Equipe_1,28,1
100,Equipe_2,87,2
100,Equipe_2,56,2
100,Equipe_2,76,2
100,Equipe_2,44,2
100,Equipe_2,35,2
100,Equipe_2,71,2
100,Equipe_2,48,2
100,Equipe_2,10,2
100,Equipe_2,31,2
100,Equipe_2,28,2
100,Equipe_2,18,2
100,Equipe_2,23,2
100,Equipe_2,23,2
100,Equipe_2,9,2
100,Equipe_2,4,2
100,Equipe_2,2,2
100,Equipe_2,8,2
100,Equipe_2,4,2
100,Equipe_2,2,2
100,Equipe_2,4,2
100,Equipe_2,4,2
100,Equipe_2,3,2
100,Equipe_2,4,2
100,Equipe_2,2,2
100,Equipe_2,2,2
100,Equipe_2,1,2
100,Equipe_2,1,2
100,Equipe_2,1,2
100,Equipe_2,1,2
100,Equipe_2,1,2
100,Match Nul,1,2
100,Equipe_2,1,2
100,Equipe_2,2,2
100,Equipe_2,2,2

# CONFIG: P10_D3_MinMaxStrategie_VoronoiHeuristic_VS_AlphaBetaStrategie_FreeSpaceHeuristic
# Plateau: 10x10, Profondeur: 3
# Stratégies: MinMaxStrategie (VoronoiHeuristic) vs AlphaBetaStrategie (FreeSpaceHeuristic)
# Parties: 50
Nombre d'Equipes = 2
Joueurs Par Equipe = 1
Profondeur IA = 3
Nombre Parties = 50


TailleGrille,EquipeGagnante,TempsMs,NbTours
100,Equipe_1,69,2
100,Equipe_1,48,2
100,Equipe_1,63,2
100,Equipe_1,49,2
100,Equipe_1,79,2
100,Equipe_1,73,2
100,Equipe_1,61,2
100,Equipe_1,41,2
100,Equipe_1,82,2
100,Equipe_1,76,2
100,Equipe_1,73,2
100,Equipe_1,63,2
100,Equipe_1,96,2
100,Equipe_1,53,2
100,Equipe_1,57,2
100,Equipe_1,28,1
100,Equipe_1,81,2
100,Equipe_1,43,2
100,Equipe_1,92,2
