Nombre d'Equipes = 2
Joueurs Par Equipe = 2
Profondeur IA = 10
Nombre Parties = 10

Parties,T1,T2,Conf %
NbParties,ABS|FSH,ABS|TOC,
10,50.0%,50.0%,±30.99%
Total,50.0%,50.0%,±30.99%

TailleGrille,EquipeGagnante,Point,Note,TempsMoyen,NbMoyenTours
900,Equipe_1,1,1.0,25563.50,3.00
900,Equipe_2,1,1.0,25563.50,3.00
900,Equipe_1,1,1.0,25563.50,3.00
900,Equipe_1,1,1.0,25563.50,3.00
900,Equipe_2,1,1.0,25563.50,3.00
900,Equipe_1,1,1.0,25563.50,3.00
900,Equipe_2,1,1.0,25563.50,3.00
900,Equipe_1,1,1.0,25563.50,3.00
900,Equipe_2,1,1.0,25563.50,3.00
900,Equipe_2,1,1.0,25563.50,3.00
