Nombre d'Equipes = 2
Joueurs Par Equipe = 2
Profondeur IA = 10
Nombre Parties = 20

Parties,T1,T2,Conf %
NbParties,ABS|VoH,ABS|VoH,
20,70.0%,25.0%,±20.08%
10,30.0%,30.0%,±28.40%
9,44.4%,22.2%,±32.46%
Total,53.8%,25.6%,±14.94%

TailleGrille,EquipeGagnante,Point,Note,TempsMoyen,NbMoyenTours
100,Equipe_1,1,1.0,17678.82,4.69
100,Equipe_2,1,1.0,17678.82,4.69
100,Equipe_1,1,1.0,17678.82,4.69
100,Equipe_2,1,1.0,17678.82,4.69
100,Equipe_1,1,1.0,17678.82,4.69
100,Equipe_1,1,1.0,17678.82,4.69
100,Equipe_1,1,1.0,17678.82,4.69
100,Equipe_1,1,1.0,17678.82,4.69
100,Equipe_1,1,1.0,17678.82,4.69
100,Equipe_2,1,1.0,17678.82,4.69
100,Equipe_1,1,1.0,17678.82,4.69
100,Equipe_1,1,1.0,17678.82,4.69
100,Match Nul,1,1.0,17678.82,4.69
100,Equipe_1,1,1.0,17678.82,4.69
100,Equipe_1,1,1.0,17678.82,4.69
100,Equipe_1,1,1.0,17678.82,4.69
100,Equipe_2,1,1.0,17678.82,4.69
100,Equipe_2,1,1.0,17678.82,4.69
100,Equipe_1,1,1.0,17678.82,4.69
100,Equipe_1,1,1.0,17678.82,4.69
100,Equipe_2,1,1.0,17678.82,4.69
100,Equipe_2,1,1.0,17678.82,4.69
100,Equipe_1,1,1.0,17678.82,4.69
100,Match Nul,1,1.0,17678.82,4.69
100,Match Nul,1,1.0,17678.82,4.69
100,Equipe_1,1,1.0,17678.82,4.69
100,Equipe_2,1,1.0,17678.82,4.69
100,Match Nul,1,1.0,17678.82,4.69
100,Match Nul,1,1.0,17678.82,4.69
100,Equipe_1,1,1.0,17678.82,4.69
100,Match Nul,1,1.0,17678.82,4.69
100,Equipe_1,1,1.0,17678.82,4.69
100,Equipe_1,1,1.0,17678.82,4.69
100,Equipe_1,1,1.0,17678.82,4.69
100,Equipe_2,1,1.0,17678.82,4.69
100,Match Nul,1,1.0,17678.82,4.69
100,Equipe_2,1,1.0,17678.82,4.69
100,Match Nul,1,1.0,17678.82,4.69
100,Equipe_1,1,1.0,17678.82,4.69
