Nombre d'Equipes = 2
Joueurs Par Equipe = 3
Profondeur IA = 10
Nombre Parties = 20

Parties,T1,T2,Conf %
NbParties,PaS|FSH,MaxN|FSH,
20,95.0%,5.0%,±9.55%
8,100.0%,0.0%,±0.00%
9,100.0%,0.0%,±0.00%
Total,97.3%,2.7%,±7.90%

TailleGrille,EquipeGagnante,Note,TempsMoyen,NbMoyenTours
400,Equipe_1,23318,4
400,Equipe_2,66808,5
400,Equipe_1,21546,2
400,Equipe_1,18092,3
400,Equipe_1,56593,3
400,Equipe_1,22954,4
400,Equipe_1,46622,3
400,Equipe_1,10641,2
400,Equipe_1,64865,5
400,Equipe_1,84126,8
400,Equipe_1,47260,7
400,Equipe_1,40209,3
400,Equipe_1,52180,7
400,Equipe_1,14865,3
400,Equipe_1,33739,3
400,Equipe_1,37874,7
400,Equipe_1,20932,3
400,Equipe_1,13285,3
400,Equipe_1,19811,5
400,Equipe_1,16010,3
400,Equipe_1,41753,4
400,Equipe_1,44985,4
400,Equipe_1,37339,4
400,Equipe_1,58468,10
400,Equipe_1,45620,4
400,Equipe_1,56527,5
400,Equipe_1,42374,5
400,Equipe_1,34904,4
400,Equipe_1,18520,3
400,Equipe_1,35828,3
400,Equipe_1,32801,3
400,Equipe_1,41255,4
400,Equipe_1,43898,4
400,Equipe_1,31010,4
400,Equipe_1,45170,8
400,Equipe_1,33676,3
400,Equipe_1,13031,3
