Nombre d'Equipes = 2
Joueurs Par Equipe = 3
Profondeur IA = 10
Nombre Parties = 20

Parties,T1,T2,Conf %
NbParties,MaxN|TOC,ABS|FSH,
20,35.0%,45.0%,±21.80%
10,30.0%,40.0%,±30.36%
30,46.7%,36.7%,±17.85%
9,66.7%,11.1%,±30.80%
Total,43.5%,36.2%,±11.39%

TailleGrille,EquipeGagnante,Point,Note,TempsMoyen,NbMoyenTours
100,Equipe_2,1,1.0,12869.84,3.75
100,Equipe_1,1,1.0,12869.84,3.75
100,Equipe_1,1,1.0,12869.84,3.75
100,Equipe_1,1,1.0,12869.84,3.75
100,Equipe_1,1,1.0,12869.84,3.75
100,Match Nul,1,1.0,12869.84,3.75
100,Match Nul,1,1.0,12869.84,3.75
100,Equipe_2,1,1.0,12869.84,3.75
100,Match Nul,1,1.0,12869.84,3.75
100,Equipe_2,1,1.0,12869.84,3.75
100,Equipe_2,1,1.0,12869.84,3.75
100,Equipe_2,1,1.0,12869.84,3.75
100,Equipe_1,1,1.0,12869.84,3.75
100,Match Nul,1,1.0,12869.84,3.75
100,Equipe_2,1,1.0,12869.84,3.75
100,Equipe_2,1,1.0,12869.84,3.75
100,Equipe_2,1,1.0,12869.84,3.75
100,Equipe_1,1,1.0,12869.84,3.75
100,Equipe_2,1,1.0,12869.84,3.75
100,Equipe_1,1,1.0,12869.84,3.75
100,Equipe_1,1,1.0,12869.84,3.75
100,Match Nul,1,1.0,12869.84,3.75
100,Equipe_1,1,1.0,12869.84,3.75
100,Equipe_2,1,1.0,12869.84,3.75
100,Equipe_1,1,1.0,12869.84,3.75
100,Equipe_2,1,1.0,12869.84,3.75
100,Match Nul,1,1.0,12869.84,3.75
100,Equipe_2,1,1.0,12869.84,3.75
100,Equipe_2,1,1.0,12869.84,3.75
100,Match Nul,1,1.0,12869.84,3.75
100,Equipe_2,1,1.0,12869.84,3.75
100,Equipe_2,1,1.0,12869.84,3.75
100,Equipe_2,1,1.0,12869.84,3.75
100,Match Nul,1,1.0,12869.84,3.75
100,Equipe_2,1,1.0,12869.84,3.75
100,Equipe_2,1,1.0,12869.84,3.75
100,Equipe_1,1,1.0,12869.84,3.75
100,Equipe_2,1,1.0,12869.84,3.75
100,Equipe_1,1,1.0,12869.84,3.75
100,Equipe_1,1,1.0,12869.84,3.75
100,Match Nul,1,1.0,12869.84,3.75
100,Equipe_1,1,1.0,12869.84,3.75
100,Match Nul,1,1.0,12869.84,3.75
100,Equipe_1,1,1.0,12869.84,3.75
100,Equipe_1,1,1.0,12869.84,3.75
100,Equipe_1,1,1.0,12869.84,3.75
100,Equipe_2,1,1.0,12869.84,3.75
100,Match Nul,1,1.0,12869.84,3.75
100,Equipe_2,1,1.0,12869.84,3.75
100,Equipe_1,1,1.0,12869.84,3.75
100,Equipe_1,1,1.0,12869.84,3.75
100,Equipe_2,1,1.0,12869.84,3.75
100,Equipe_1,1,1.0,12869.84,3.75
100,Equipe_1,1,1.0,12869.84,3.75
100,Equipe_1,1,1.0,12869.84,3.75
100,Equipe_1,1,1.0,12869.84,3.75
100,Equipe_2,1,1.0,12869.84,3.75
100,Equipe_1,1,1.0,12869.84,3.75
100,Match Nul,1,1.0,12869.84,3.75
100,Equipe_2,1,1.0,12869.84,3.75
100,Equipe_2,1,1.0,12869.84,3.75
100,Equipe_1,1,1.0,12869.84,3.75
100,Equipe_1,1,1.0,12869.84,3.75
100,Match Nul,1,1.0,12869.84,3.75
100,Equipe_1,1,1.0,12869.84,3.75
100,Equipe_1,1,1.0,12869.84,3.75
100,Match Nul,1,1.0,12869.84,3.75
100,Equipe_1,1,1.0,12869.84,3.75
100,Equipe_1,1,1.0,12869.84,3.75
